genre,movie_id,movie_title,year,tmdb_id,director,actor1,actor2
Comedy Romance,49,I.Q. ,1994,11777,Fred Schepisi,Tim Robbins,Meg Ryan
Action Adventure Romance Sci-Fi War,50,Star Wars ,1977,11,George Lucas,Mark Hamill,Harrison Ford
Drama Romance War Western,51,Legends of the Fall ,1994,4476,Edward Zwick,Brad Pitt,Anthony Hopkins
Drama,52,"Madness of King George, The ",1994,11318,Nicholas Hytner,Nigel Hawthorne,Helen Mirren
Action Thriller,53,Natural Born Killers ,1994,241,Oliver Stone,Woody Harrelson,Juliette Lewis
Action Drama Thriller,54,Outbreak ,1995,6950,Wolfgang Petersen,Dustin Hoffman,Rene Russo
Crime Drama Romance Thriller,55,"Professional, The ",1994,101,Luc Besson,Jean Reno,Natalie Portman
Crime Drama,56,Pulp Fiction ,1994,680,Quentin Tarantino,John Travolta,Samuel L. Jackson
Drama,57,Priest ,1994,40156,Antonia Bird,Linus Roache,Tom Wilkinson
Drama,58,Quiz Show ,1994,11450,Robert Redford,John Turturro,Rob Morrow
Drama,59,Three Colors: Red ,1994,110,Krzysztof Kieślowski,Irène Jacob,Jean-Louis Trintignant
Drama,60,Three Colors: Blue ,1993,108,Krzysztof Kieślowski,Juliette Binoche,Benoît Régent
Drama,61,Three Colors: White ,1994,109,Krzysztof Kieślowski,Zbigniew Zamachowski,Julie Delpy
Action Adventure Sci-Fi,62,Stargate ,1994,2164,Roland Emmerich,Kurt Russell,James Spader
Children's Comedy,63,"Santa Clause, The ",1994,11395,John Pasquin,Tim Allen,Judge Reinhold
Drama,64,"Shawshank Redemption, The ",1994,278,Frank Darabont,Tim Robbins,Morgan Freeman
Comedy Drama,65,What's Eating Gilbert Grape ,1993,1587,Lasse Hallström,Johnny Depp,Leonardo DiCaprio
Comedy Romance,66,While You Were Sleeping ,1995,2064,Jon Turteltaub,Sandra Bullock,Bill Pullman
Comedy,67,Ace Ventura: Pet Detective ,1994,3049,Tom Shadyac,Jim Carrey,Sean Young
Action Romance Thriller,68,"Crow, The ",1994,9495,Alex Proyas,Brandon Lee,Rochelle Davis
Comedy Romance War,69,Forrest Gump ,1994,13,Robert Zemeckis,Tom Hanks,Robin Wright
Comedy Romance,70,Four Weddings and a Funeral ,1994,712,Mike Newell,Hugh Grant,Andie MacDowell
Animation Children's Musical,71,"Lion King, The ",1994,8587,Roger Allers,Matthew Broderick,Jonathan Taylor Thomas
Comedy Crime Fantasy,72,"Mask, The ",1994,854,Chuck Russell,Jim Carrey,Cameron Diaz
Action Comedy Western,73,Maverick ,1994,9359,Richard Donner,Mel Gibson,Jodie Foster
Action Comedy Drama,74,Faster Pussycat! Kill! Kill! ,1965,315,Russ Meyer,Tura Satana,Haji
Documentary,75,Brother Minister: The Assassination of Malcolm X ,1994,316098,Jefri Aalmuhammed,Roscoe Lee Browne,
Crime Drama,76,Carlito's Way ,1993,6075,Brian De Palma,Al Pacino,Sean Penn
Drama Thriller,77,"Firm, The ",1993,37233,Sydney Pollack,Tom Cruise,Jeanne Tripplehorn
Adventure Children's Drama,78,Free Willy ,1993,1634,Simon Wincer,Jason James Richter,Lori Petty
Action Thriller,79,"Fugitive, The ",1993,5503,Andrew Davis,Harrison Ford,Tommy Lee Jones
Action Comedy War,80,Hot Shots! Part Deux ,1993,9255,Jim Abrahams,Charlie Sheen,Lloyd Bridges
Comedy Romance,81,"Hudsucker Proxy, The ",1994,11934,Joel Coen,Tim Robbins,Jennifer Jason Leigh
Action Adventure Sci-Fi,82,Jurassic Park ,1993,329,Steven Spielberg,Sam Neill,Laura Dern
Comedy Romance,83,Much Ado About Nothing ,1993,11971,Kenneth Branagh,Kenneth Branagh,Richard Briers
Horror Sci-Fi,84,Robert A. Heinlein's The Puppet Masters ,1994,25557,Stuart Orme,Donald Sutherland,Eric Thal
Comedy,85,"Ref, The ",1994,10872,Ted Demme,Denis Leary,Judy Davis
Drama,86,"Remains of the Day, The ",1993,1245,James Ivory,Anthony Hopkins,Emma Thompson
Drama,87,Searching for Bobby Fischer ,1993,14291,Steven Zaillian,Max Pomeranc,Joe Mantegna
Comedy Romance,88,Sleepless in Seattle ,1993,858,Nora Ephron,Tom Hanks,Meg Ryan
Film-Noir Sci-Fi,89,Blade Runner ,1982,78,Ridley Scott,Harrison Ford,Rutger Hauer
Comedy Romance Thriller,90,So I Married an Axe Murderer ,1993,10442,Thomas Schlamme,Mike Myers,Nancy Travis
Children's Comedy Musical,91,"Nightmare Before Christmas, The ",1993,9479,Henry Selick,Danny Elfman,Chris Sarandon
Action Crime Romance,92,True Romance ,1993,319,Tony Scott,Christian Slater,Patricia Arquette
Comedy Drama,93,Welcome to the Dollhouse ,1996,11446,Todd Solondz,Heather Matarazzo,Victoria Davis
Children's Comedy,94,Home Alone ,1990,771,Chris Columbus,Macaulay Culkin,Joe Pesci
Animation Children's Comedy Musical,95,Aladdin ,1992,812,Ron Clements,Scott Weinger,Robin Williams
Action Sci-Fi Thriller,96,Terminator 2: Judgment Day ,1991,280,James Cameron,Arnold Schwarzenegger,Linda Hamilton
Adventure Drama Western,97,Dances with Wolves ,1990,581,Kevin Costner,Kevin Costner,Mary McDonnell
Drama Thriller,98,"Silence of the Lambs, The ",1991,274,Jonathan Demme,Jodie Foster,Anthony Hopkins
Animation Children's Musical,99,Snow White and the Seven Dwarfs ,1937,408,David Hand,Adriana Caselotti,Lucille La Verne
Crime Drama Thriller,100,Fargo ,1997,275,Joel Coen,William H. Macy,Frances McDormand
Action Adventure Animation Horror Sci-Fi,101,Heavy Metal ,1981,11827,Gerald Potterton,Rodger Bumpass,Jackie Burroughs
Animation Children's,102,"Aristocats, The ",1970,10112,Wolfgang Reitherman,Phil Harris,Sterling Holloway
Animation Children's Musical,103,All Dogs Go to Heaven 2 ,1996,19042,Larry Leker,Ernest Borgnine,Bebe Neuwirth
Comedy,104,Theodore Rex ,1996,36259,Jonathan R. Betuel,Whoopi Goldberg,George Newbern
Comedy,105,Sgt. Bilko ,1996,9099,Jonathan Lynn,Steve Martin,Dan Aykroyd
Drama Thriller,106,Diabolique ,1996,10988,Jeremiah S. Chechik,Sharon Stone,Isabelle Adjani
Drama,107,Moll Flanders ,1996,18989,Pen Densham,Robin Wright,Morgan Freeman
Comedy,108,Kids in the Hall: Brain Candy ,1996,18414,Kelly Makin,Dave Foley,Bruce McCulloch
Comedy Sci-Fi,109,Mystery Science Theater 3000: The Movie ,1996,3065,Jim Mallon,Michael J. Nelson,Trace Beaulieu
Action Adventure Comedy War,110,Operation Dumbo Drop ,1995,27281,Simon Wincer,Danny Glover,Ray Liotta
Comedy Romance,111,"Truth About Cats & Dogs, The ",1996,8866,Michael Lehmann,Uma Thurman,Janeane Garofalo
Adventure Children's,112,Flipper ,1996,36355,Alan Shapiro,Elijah Wood,Paul Hogan
Drama,113,"Horseman on the Roof, The (Hussard sur le toit, Le) ",1996,11876,Jean-Paul Rappeneau,Juliette Binoche,Olivier Martinez
Animation,114,Wallace & Gromit: The Best of Aardman Animation ,1996,532,Nick Park,Peter Sallis,Anne Reid
Documentary,115,"Haunted World of Edward D. Wood Jr., The ",1996,73183,Brett Thompson,Maila Nurmi,Dolores Fuller
Comedy,116,Cold Comfort Farm ,1996,32513,John Schlesinger,Eileen Atkins,Kate Beckinsale
Action Adventure Thriller,117,"Rock, The ",1996,9802,Michael Bay,Sean Connery,Nicolas Cage
Action Adventure Thriller,118,Twister ,1996,664,Jan de Bont,Helen Hunt,Bill Paxton
Documentary,119,Maya Lin: A Strong Clear Vision ,1994,85778,Freida Lee Mock,,
Comedy Crime,120,Striptease ,1996,9879,Andrew Bergman,Demi Moore,Burt Reynolds
Action Sci-Fi War,121,Independence Day (ID4) ,1996,602,Roland Emmerich,Jeff Goldblum,Will Smith
Comedy,122,"Cable Guy, The ",1996,9894,Ben Stiller,Jim Carrey,Matthew Broderick
Comedy Horror,123,"Frighteners, The ",1996,10779,Peter Jackson,Michael J. Fox,Jeffrey Combs
Drama Mystery,124,Lone Star ,1996,26748,John Sayles,Chris Cooper,Matthew McConaughey
Drama Romance,125,Phenomenon ,1996,9294,Jon Turteltaub,John Travolta,Kyra Sedgwick
Drama,126,"Spitfire Grill, The ",1996,47907,Lee David Zlotoff,Alison Elliott,Ellen Burstyn
Action Crime Drama,127,"Godfather, The ",1972,238,Francis Ford Coppola,Marlon Brando,Al Pacino
Action Thriller,128,Supercop ,1996,11134,Stanley Tong,Jackie Chan,Michelle Yeoh
Crime Drama Romance Thriller,129,Bound ,1996,9303,Lana Wachowski,Jennifer Tilly,Gina Gershon
Crime,130,Kansas City ,1996,22479,Robert Altman,Jennifer Jason Leigh,Miranda Richardson
Drama Romance,131,Breakfast at Tiffany's ,1961,164,Blake Edwards,Audrey Hepburn,George Peppard
Adventure Children's Drama Musical,132,"Wizard of Oz, The ",1939,630,Victor Fleming,Judy Garland,Frank Morgan
Drama Romance War,133,Gone with the Wind ,1939,770,Victor Fleming,Vivien Leigh,Clark Gable
Drama,134,Citizen Kane ,1941,15,Orson Welles,Orson Welles,Joseph Cotten
Drama Mystery Sci-Fi Thriller,135,2001: A Space Odyssey ,1968,62,Stanley Kubrick,Keir Dullea,Gary Lockwood
Drama,136,Mr. Smith Goes to Washington ,1939,3083,Frank Capra,Jean Arthur,James Stewart
Drama,137,Big Night ,1996,18203,Stanley Tucci,Stanley Tucci,Tony Shalhoub
Children's Comedy,138,D3: The Mighty Ducks ,1996,10680,Rob Lieberman,Emilio Estevez,Jeffrey Nordling
Children's Comedy,139,"Love Bug, The ",1969,14136,Robert Stevenson,Dean Jones,Michele Lee
Adventure Children's,140,Homeward Bound: The Incredible Journey ,1993,6878,Duwayne Dunham,Michael J. Fox,Sally Field
Adventure Children's Fantasy Sci-Fi,141,"20,000 Leagues Under the Sea ",1954,173,Richard Fleischer,Kirk Douglas,James Mason
Adventure Children's Musical,142,Bedknobs and Broomsticks ,1971,12335,Robert Stevenson,Angela Lansbury,David Tomlinson
Musical,143,"Sound of Music, The ",1965,15121,Robert Wise,Julie Andrews,Christopher Plummer
Action Thriller,144,Die Hard ,1988,562,John McTiernan,Bruce Willis,Alan Rickman
Action Sci-Fi Thriller,145,"Lawnmower Man, The ",1992,10163,Brett Leonard,Jeff Fahey,Pierce Brosnan
Drama,146,Unhook the Stars ,1996,48862,Nick Cassavetes,Gena Rowlands,Marisa Tomei
Action Thriller,147,"Long Kiss Goodnight, The ",1996,11412,Renny Harlin,Geena Davis,Samuel L. Jackson
Action Adventure,148,"Ghost and the Darkness, The ",1996,10586,Stephen Hopkins,Michael Douglas,Val Kilmer
Drama,149,Jude ,1996,25147,Michael Winterbottom,Kate Winslet,Christopher Eccleston
Comedy Drama,150,Swingers ,1996,10218,Doug Liman,Jon Favreau,Vince Vaughn
Adventure Children's Comedy,151,Willy Wonka and the Chocolate Factory ,1971,252,Mel Stuart,Gene Wilder,Jack Albertson
Comedy Sci-Fi,152,Sleeper ,1973,11561,Woody Allen,Woody Allen,Diane Keaton
Comedy,153,"Fish Called Wanda, A ",1988,623,Charles Crichton,John Cleese,Jamie Lee Curtis
Comedy,154,Monty Python's Life of Brian ,1979,583,Terry Jones,Graham Chapman,John Cleese
Musical Romance,155,Dirty Dancing ,1987,88,Emile Ardolino,Jennifer Grey,Patrick Swayze
Crime Thriller,156,Reservoir Dogs ,1992,500,Quentin Tarantino,Harvey Keitel,Tim Roth
Drama War,157,Platoon ,1986,792,Oliver Stone,Tom Berenger,Keith David
Comedy,158,Weekend at Bernie's ,1989,8491,Ted Kotcheff,Andrew McCarthy,Jonathan Silverman
Mystery Thriller,159,Basic Instinct ,1992,402,Paul Verhoeven,Michael Douglas,Sharon Stone
Drama,160,Glengarry Glen Ross ,1992,9504,James Foley,Al Pacino,Jack Lemmon
Action Romance,161,Top Gun ,1986,744,Tony Scott,Tom Cruise,Kelly McGillis
Drama,162,On Golden Pond ,1981,11816,Mark Rydell,Katharine Hepburn,Henry Fonda
Comedy,163,"Return of the Pink Panther, The ",1974,11843,Blake Edwards,Peter Sellers,Christopher Plummer
Action Adventure Sci-Fi Thriller,164,"Abyss, The ",1989,2756,James Cameron,Ed Harris,Mary Elizabeth Mastrantonio
Drama,165,Jean de Florette ,1986,4480,Claude Berri,Yves Montand,Gérard Depardieu
Drama,166,Manon of the Spring (Manon des sources) ,1986,4481,Claude Berri,Yves Montand,Emmanuelle Béart
Comedy,167,Private Benjamin ,1980,10765,Howard Zieff,Goldie Hawn,Eileen Brennan
Comedy,168,Monty Python and the Holy Grail ,1974,762,Terry Gilliam,Graham Chapman,John Cleese
Animation Comedy,169,"Wrong Trousers, The ",1993,531,Nick Park,Peter Sallis,
Comedy Drama Romance,170,Cinema Paradiso ,1988,11216,Giuseppe Tornatore,Philippe Noiret,Jacques Perrin
Comedy Sci-Fi,171,Delicatessen ,1991,892,Jean-Pierre Jeunet,Dominique Pinon,Marie-Laure Dougnac
Action Adventure Drama Romance Sci-Fi War,172,"Empire Strikes Back, The ",1980,1891,Irvin Kershner,Mark Hamill,Harrison Ford
Action Adventure Comedy Romance,173,"Princess Bride, The ",1987,2493,Rob Reiner,Cary Elwes,Robin Wright
Action Adventure,174,Raiders of the Lost Ark ,1981,85,Steven Spielberg,Harrison Ford,Karen Allen
Sci-Fi,175,Brazil ,1985,68,Terry Gilliam,Jonathan Pryce,Robert De Niro
Action Sci-Fi Thriller War,176,Aliens ,1986,679,James Cameron,Sigourney Weaver,Michael Biehn
Action Western,177,"Good, The Bad and The Ugly, The ",1966,429,Sergio Leone,Clint Eastwood,Eli Wallach
Drama,178,12 Angry Men ,1957,389,Sidney Lumet,Henry Fonda,Martin Balsam
Sci-Fi,179,"Clockwork Orange, A ",1971,185,Stanley Kubrick,Malcolm McDowell,Patrick Magee
Drama War,180,Apocalypse Now ,1979,28,Francis Ford Coppola,Martin Sheen,Marlon Brando
Action Adventure Romance Sci-Fi War,181,Return of the Jedi ,1997,1892,Richard Marquand,Mark Hamill,Harrison Ford
Crime Drama,182,GoodFellas ,1990,769,Martin Scorsese,Ray Liotta,Robert De Niro
Action Horror Sci-Fi Thriller,183,Alien ,1979,348,Ridley Scott,Tom Skerritt,Sigourney Weaver
Action Adventure Comedy Horror Sci-Fi,184,Army of Darkness ,1993,766,Sam Raimi,Bruce Campbell,Embeth Davidtz
Horror Romance Thriller,185,Psycho ,1960,539,Alfred Hitchcock,Anthony Perkins,Janet Leigh
Action Comedy Musical,186,"Blues Brothers, The ",1980,525,John Landis,Dan Aykroyd,John Belushi
Action Crime Drama,187,"Godfather: Part II, The ",1974,240,Francis Ford Coppola,Al Pacino,Robert Duvall
Action Drama War,188,Full Metal Jacket ,1987,600,Stanley Kubrick,Matthew Modine,Adam Baldwin
Animation Comedy,189,"Grand Day Out, A ",1992,530,Nick Park,Peter Sallis,Peter Hawkins
Drama War,190,Henry V ,1989,10705,Kenneth Branagh,Kenneth Branagh,Derek Jacobi
Drama Mystery,191,Amadeus ,1984,279,Miloš Forman,F. Murray Abraham,Tom Hulce
Drama,192,Raging Bull ,1980,1578,Martin Scorsese,Robert De Niro,Joe Pesci
Drama,193,"Right Stuff, The ",1983,9549,Philip Kaufman,Fred Ward,Dennis Quaid
Comedy Crime,194,"Sting, The ",1973,9277,George Roy Hill,Paul Newman,Robert Redford
Action Sci-Fi Thriller,195,"Terminator, The ",1984,218,James Cameron,Arnold Schwarzenegger,Michael Biehn
Drama,196,Dead Poets Society ,1989,207,Peter Weir,Robin Williams,Ethan Hawke
Drama Romance,197,"Graduate, The ",1967,37247,Mike Nichols,Dustin Hoffman,Anne Bancroft
Thriller,198,Nikita (La Femme Nikita) ,1990,9322,Luc Besson,Anne Parillaud,Marc Duret
Drama War,199,"Bridge on the River Kwai, The ",1957,826,David Lean,William Holden,Alec Guinness
Horror,200,"Shining, The ",1980,694,Stanley Kubrick,Jack Nicholson,Shelley Duvall
Action Adventure Comedy Horror,201,Evil Dead II ,1987,765,Sam Raimi,Bruce Campbell,Sarah Berry
Comedy Romance,202,Groundhog Day ,1993,137,Harold Ramis,Bill Murray,Andie MacDowell
Western,203,Unforgiven ,1992,33,Clint Eastwood,Clint Eastwood,Gene Hackman
Comedy Sci-Fi,204,Back to the Future ,1985,105,Robert Zemeckis,Michael J. Fox,Christopher Lloyd
Drama War,205,Patton ,1970,11202,Franklin J. Schaffner,George C. Scott,Karl Malden
Adventure Animation Sci-Fi Thriller,206,Akira ,1988,149,Katsuhiro Otomo,Mitsuo Iwata,Nozomu Sasaki
Action Drama Romance,207,Cyrano de Bergerac ,1990,11673,Jean-Paul Rappeneau,Gérard Depardieu,Anne Brochet
Comedy Horror,208,Young Frankenstein ,1974,3034,Mel Brooks,Gene Wilder,Peter Boyle
Comedy Drama Musical,209,This Is Spinal Tap ,1984,11031,Rob Reiner,Christopher Guest,Michael McKean
Action Adventure,210,Indiana Jones and the Last Crusade ,1989,89,Steven Spielberg,Harrison Ford,Sean Connery
Comedy War,211,M*A*S*H ,1970,651,Robert Altman,Donald Sutherland,Elliott Gould
Drama,212,"Unbearable Lightness of Being, The ",1988,10644,Philip Kaufman,Daniel Day-Lewis,Juliette Binoche
Drama Romance,213,"Room with a View, A ",1986,11257,James Ivory,Helena Bonham Carter,Julian Sands
Drama Musical War,214,Pink Floyd - The Wall ,1982,12104,Alan Parker,Bob Geldof,Christine Hargreaves
Drama,215,Field of Dreams ,1989,2323,Phil Alden Robinson,Kevin Costner,Amy Madigan
Comedy Romance,216,When Harry Met Sally... ,1989,639,Rob Reiner,Meg Ryan,Billy Crystal
Horror Romance,217,Bram Stoker's Dracula ,1992,6114,Francis Ford Coppola,Gary Oldman,Winona Ryder
Thriller,218,Cape Fear ,1991,1598,Martin Scorsese,Robert De Niro,Nick Nolte
Horror,219,"Nightmare on Elm Street, A ",1984,377,Wes Craven,John Saxon,Ronee Blakley
Comedy Romance,220,"Mirror Has Two Faces, The ",1996,25189,Barbra Streisand,Barbra Streisand,Jeff Bridges
Drama,221,Breaking the Waves ,1996,145,Lars von Trier,Emily Watson,Stellan Skarsgård
Action Adventure Sci-Fi,222,Star Trek: First Contact ,1996,199,Jonathan Frakes,Patrick Stewart,Jonathan Frakes
Drama Thriller,223,Sling Blade ,1996,12498,Billy Bob Thornton,Billy Bob Thornton,Dwight Yoakam
Drama,224,Ridicule ,1996,12709,Patrice Leconte,Charles Berling,Jean Rochefort
Children's Comedy,225,101 Dalmatians ,1996,11674,Stephen Herek,Glenn Close,Jeff Daniels
Action Thriller,226,Die Hard 2 ,1990,1573,Renny Harlin,Bruce Willis,Bonnie Bedelia
Action Adventure Sci-Fi,227,Star Trek VI: The Undiscovered Country ,1991,174,Nicholas Meyer,William Shatner,Leonard Nimoy
Action Adventure Sci-Fi,228,Star Trek: The Wrath of Khan ,1982,154,Nicholas Meyer,William Shatner,Leonard Nimoy
Action Adventure Sci-Fi,229,Star Trek III: The Search for Spock ,1984,157,Leonard Nimoy,William Shatner,DeForest Kelley
Action Adventure Sci-Fi,230,Star Trek IV: The Voyage Home ,1986,168,Leonard Nimoy,William Shatner,Catherine Hicks
Action Adventure Comedy Crime,231,Batman Returns ,1992,364,Tim Burton,Michael Keaton,Danny DeVito
Action Comedy Western,232,Young Guns ,1988,11967,Christopher Cain,Emilio Estevez,Kiefer Sutherland
Action,233,Under Siege ,1992,8845,Andrew Davis,Steven Seagal,Tommy Lee Jones
Action Horror,234,Jaws ,1975,578,Steven Spielberg,Roy Scheider,Robert Shaw
Action Comedy Sci-Fi War,235,Mars Attacks! ,1996,75,Tim Burton,Jack Nicholson,Glenn Close
Comedy Drama,236,Citizen Ruth ,1996,13891,Alexander Payne,Laura Dern,Swoosie Kurtz
Drama Romance,237,Jerry Maguire ,1996,9390,Cameron Crowe,Tom Cruise,Cuba Gooding Jr.
Comedy,238,Raising Arizona ,1987,378,Joel Coen,Nicolas Cage,Holly Hunter
Crime Drama Sci-Fi,239,Sneakers ,1992,2322,Phil Alden Robinson,Robert Redford,Sidney Poitier
Animation Comedy,240,Beavis and Butt-head Do America ,1996,3179,Mike Judge,Mike Judge,Bruce Willis
Action Romance War,241,"Last of the Mohicans, The ",1992,9361,Michael Mann,Daniel Day-Lewis,Madeleine Stowe
Comedy,242,Kolya ,1997,784,Jan Svěrák,Andrei Chalimon,Zdeněk Svěrák
Children's Comedy,243,Jungle2Jungle ,1997,-1,,,
Action Drama Thriller,244,Smilla's Sense of Snow ,1997,9311,Bille August,Julia Ormond,Gabriel Byrne
Action Drama Thriller War,245,"Devil's Own, The ",1997,4477,Alan J. Pakula,Brad Pitt,Harrison Ford
Drama Romance,246,Chasing Amy ,1997,2255,Kevin Smith,Ben Affleck,Joey Lauren Adams
Action Adventure Children's,247,Turbo: A Power Rangers Movie ,1997,6499,Shuki Levy,Johnny Yong Bosch,Nakia Burrise
Comedy Crime,248,Grosse Pointe Blank ,1997,9434,George Armitage,John Cusack,Minnie Driver
Comedy,249,Austin Powers: International Man of Mystery ,1997,816,Jay Roach,Mike Myers,Elizabeth Hurley
Action Sci-Fi,250,"Fifth Element, The ",1997,18,Luc Besson,Bruce Willis,Gary Oldman
Comedy,251,Shall We Dance? ,1997,11239,Masayuki Suo,Koji Yakusho,Tamiyo Kusakari
Action Adventure Sci-Fi Thriller,252,"Lost World: Jurassic Park, The ",1997,330,Steven Spielberg,Jeff Goldblum,Julianne Moore
Drama Romance,253,"Pillow Book, The ",1997,26422,Peter Greenaway,Vivian Wu,Yoshi Oida
Action Adventure Crime,254,Batman & Robin ,1997,415,Joel Schumacher,George Clooney,Chris O'Donnell
Comedy Romance,255,My Best Friend's Wedding ,1997,8874,P.J. Hogan,Julia Roberts,Dermot Mulroney
Comedy Romance,256,When the Cats Away (Chacun cherche son chat) ,1997,11956,Cédric Klapisch,Garance Clavel,Zinedine Soualem
Action Adventure Comedy Sci-Fi,257,Men in Black ,1997,607,Barry Sonnenfeld,Tommy Lee Jones,Will Smith
Drama Sci-Fi,258,Contact ,1997,686,Robert Zemeckis,Jodie Foster,Matthew McConaughey
Children's Comedy,259,George of the Jungle ,1997,10603,Sam Weisman,Brendan Fraser,Leslie Mann
Action Mystery Sci-Fi Thriller,260,Event Horizon ,1997,8413,Paul W.S. Anderson,Laurence Fishburne,Sam Neill
Children's Comedy,261,Air Bud ,1997,20737,Charles Martin Smith,Kevin Zegers,Wendy Makkena
Drama,262,In the Company of Men ,1997,14585,Neil LaBute,Aaron Eckhart,Stacy Edwards
Action,263,Steel ,1997,8854,Kenneth Johnson,Shaquille O'Neal,Annabeth Gish
Sci-Fi Thriller,264,Mimic ,1997,4961,Guillermo del Toro,Mira Sorvino,Jeremy Northam
Action Thriller,265,"Hunt for Red October, The ",1990,1669,John McTiernan,Alec Baldwin,Sean Connery
Action Adventure,266,Kull the Conqueror ,1997,17832,John Nicolella,Kevin Sorbo,Tia Carrere
