movie_title,year,movie+title,tmdb_id
Legends of the Fall ,1994.0,Legends+of+the+Fall,
"Madness of King George, The ",1994.0,"Madness+of+King+George,+The",
Natural Born Killers ,1994.0,Natural+Born+Killers,
Outbreak ,1995.0,Outbreak,
"Professional, The ",1994.0,"Professional,+The",
Pulp Fiction ,1994.0,Pulp+Fiction,
Priest ,1994.0,Priest,
Quiz Show ,1994.0,Quiz+Show,
Three Colors: Red ,1994.0,Three+Colors:+Red,
Three Colors: Blue ,1993.0,Three+Colors:+Blue,
Three Colors: White ,1994.0,Three+Colors:+White,
Stargate ,1994.0,Stargate,
"Santa Clause, The ",1994.0,"Santa+Clause,+The",
"Shawshank Redemption, The ",1994.0,"Shawshank+Redemption,+The",
What's Eating Gilbert Grape ,1993.0,What's+Eating+Gilbert+Grape,
While You Were Sleeping ,1995.0,While+You+Were+Sleeping,
Ace Ventura: Pet Detective ,1994.0,Ace+Ventura:+Pet+Detective,
"Crow, The ",1994.0,"Crow,+The",
Forrest Gump ,1994.0,Forrest+Gump,
Four Weddings and a Funeral ,1994.0,Four+Weddings+and+a+Funeral,
"Lion King, The ",1994.0,"Lion+King,+The",
"Mask, The ",1994.0,"Mask,+The",
Maverick ,1994.0,Maverick,
Faster Pussycat! Kill! Kill! ,1965.0,Faster+Pussycat!+Kill!+Kill!,
Brother Minister: The Assassination of Malcolm X ,1994.0,Brother+Minister:+The+Assassination+of+Malcolm+X,
Carlito's Way ,1993.0,Carlito's+Way,
"Firm, The ",1993.0,"Firm,+The",
Free Willy ,1993.0,Free+Willy,
"Fugitive, The ",1993.0,"Fugitive,+The",
Hot Shots! Part Deux ,1993.0,Hot+Shots!+Part+Deux,
"Hudsucker Proxy, The ",1994.0,"Hudsucker+Proxy,+The",
Jurassic Park ,1993.0,Jurassic+Park,
Much Ado About Nothing ,1993.0,Much+Ado+About+Nothing,
Robert A. Heinlein's The Puppet Masters ,1994.0,Robert+A.+Heinlein's+The+Puppet+Masters,
"Ref, The ",1994.0,"Ref,+The",
"Remains of the Day, The ",1993.0,"Remains+of+the+Day,+The",
Searching for Bobby Fischer ,1993.0,Searching+for+Bobby+Fischer,
Sleepless in Seattle ,1993.0,Sleepless+in+Seattle,
Blade Runner ,1982.0,Blade+Runner,
So I Married an Axe Murderer ,1993.0,So+I+Married+an+Axe+Murderer,
"Nightmare Before Christmas, The ",1993.0,"Nightmare+Before+Christmas,+The",
True Romance ,1993.0,True+Romance,
Welcome to the Dollhouse ,1996.0,Welcome+to+the+Dollhouse,
Home Alone ,1990.0,Home+Alone,
Aladdin ,1992.0,Aladdin,
Terminator 2: Judgment Day ,1991.0,Terminator+2:+Judgment+Day,
Dances with Wolves ,1990.0,Dances+with+Wolves,
"Silence of the Lambs, The ",1991.0,"Silence+of+the+Lambs,+The",
Snow White and the Seven Dwarfs ,1937.0,Snow+White+and+the+Seven+Dwarfs,
Fargo ,1997.0,Fargo,
Heavy Metal ,1981.0,Heavy+Metal,
"Aristocats, The ",1970.0,"Aristocats,+The",
All Dogs Go to Heaven 2 ,1996.0,All+Dogs+Go+to+Heaven+2,
Theodore Rex ,1996.0,Theodore+Rex,
Sgt. Bilko ,1996.0,Sgt.+Bilko,
Diabolique ,1996.0,Diabolique,
Moll Flanders ,1996.0,Moll+Flanders,
Kids in the Hall: Brain Candy ,1996.0,Kids+in+the+Hall:+Brain+Candy,
Mystery Science Theater 3000: The Movie ,1996.0,Mystery+Science+Theater+3000:+The+Movie,
Operation Dumbo Drop ,1995.0,Operation+Dumbo+Drop,
"Truth About Cats & Dogs, The ",1996.0,"Truth+About+Cats+&+Dogs,+The",
Flipper ,1996.0,Flipper,
"Horseman on the Roof, The (Hussard sur le toit, Le) ",1996.0,"Horseman+on+the+Roof,+The",
Wallace & Gromit: The Best of Aardman Animation ,1996.0,Wallace+&+Gromit:+The+Best+of+Aardman+Animation,
"Haunted World of Edward D. Wood Jr., The ",1996.0,"Haunted+World+of+Edward+D.+Wood+Jr.,+The",
Cold Comfort Farm ,1996.0,Cold+Comfort+Farm,
"Rock, The ",1996.0,"Rock,+The",
Twister ,1996.0,Twister,
Maya Lin: A Strong Clear Vision ,1994.0,Maya+Lin:+A+Strong+Clear+Vision,
Striptease ,1996.0,Striptease,
Independence Day (ID4) ,1996.0,Independence+Day,
"Cable Guy, The ",1996.0,"Cable+Guy,+The",
"Frighteners, The ",1996.0,"Frighteners,+The",
Lone Star ,1996.0,Lone+Star,
Phenomenon ,1996.0,Phenomenon,
"Spitfire Grill, The ",1996.0,"Spitfire+Grill,+The",
"Godfather, The ",1972.0,"Godfather,+The",
Supercop ,1996.0,Supercop,
Bound ,1996.0,Bound,
Kansas City ,1996.0,Kansas+City,
Breakfast at Tiffany's ,1961.0,Breakfast+at+Tiffany's,
"Wizard of Oz, The ",1939.0,"Wizard+of+Oz,+The",
Gone with the Wind ,1939.0,Gone+with+the+Wind,
Citizen Kane ,1941.0,Citizen+Kane,
2001: A Space Odyssey ,1968.0,2001:+A+Space+Odyssey,
Mr. Smith Goes to Washington ,1939.0,Mr.+Smith+Goes+to+Washington,
Big Night ,1996.0,Big+Night,
D3: The Mighty Ducks ,1996.0,D3:+The+Mighty+Ducks,
"Love Bug, The ",1969.0,"Love+Bug,+The",
Homeward Bound: The Incredible Journey ,1993.0,Homeward+Bound:+The+Incredible+Journey,
"20,000 Leagues Under the Sea ",1954.0,"20,000+Leagues+Under+the+Sea",
Bedknobs and Broomsticks ,1971.0,Bedknobs+and+Broomsticks,
"Sound of Music, The ",1965.0,"Sound+of+Music,+The",
Die Hard ,1988.0,Die+Hard,
"Lawnmower Man, The ",1992.0,"Lawnmower+Man,+The",
Unhook the Stars ,1996.0,Unhook+the+Stars,
"Long Kiss Goodnight, The ",1996.0,"Long+Kiss+Goodnight,+The",
"Ghost and the Darkness, The ",1996.0,"Ghost+and+the+Darkness,+The",
Jude ,1996.0,Jude,
Swingers ,1996.0,Swingers,
Willy Wonka and the Chocolate Factory ,1971.0,Willy+Wonka+and+the+Chocolate+Factory,
Sleeper ,1973.0,Sleeper,
"Fish Called Wanda, A ",1988.0,"Fish+Called+Wanda,+A",
Monty Python's Life of Brian ,1979.0,Monty+Python's+Life+of+Brian,
Dirty Dancing ,1987.0,Dirty+Dancing,
Reservoir Dogs ,1992.0,Reservoir+Dogs,
Platoon ,1986.0,Platoon,
Weekend at Bernie's ,1989.0,Weekend+at+Bernie's,
Basic Instinct ,1992.0,Basic+Instinct,
Glengarry Glen Ross ,1992.0,Glengarry+Glen+Ross,
Top Gun ,1986.0,Top+Gun,
On Golden Pond ,1981.0,On+Golden+Pond,
"Return of the Pink Panther, The ",1974.0,"Return+of+the+Pink+Panther,+The",
"Abyss, The ",1989.0,"Abyss,+The",
Jean de Florette ,1986.0,Jean+de+Florette,
Manon of the Spring (Manon des sources) ,1986.0,Manon+of+the+Spring,
Private Benjamin ,1980.0,Private+Benjamin,
Monty Python and the Holy Grail ,1974.0,Monty+Python+and+the+Holy+Grail,
"Wrong Trousers, The ",1993.0,"Wrong+Trousers,+The",
Cinema Paradiso ,1988.0,Cinema+Paradiso,
Delicatessen ,1991.0,Delicatessen,
"Empire Strikes Back, The ",1980.0,"Empire+Strikes+Back,+The",
"Princess Bride, The ",1987.0,"Princess+Bride,+The",
Raiders of the Lost Ark ,1981.0,Raiders+of+the+Lost+Ark,
Brazil ,1985.0,Brazil,
Aliens ,1986.0,Aliens,
"Good, The Bad and The Ugly, The ",1966.0,"Good,+The+Bad+and+The+Ugly,+The",
12 Angry Men ,1957.0,12+Angry+Men,
"Clockwork Orange, A ",1971.0,"Clockwork+Orange,+A",
Apocalypse Now ,1979.0,Apocalypse+Now,
Return of the Jedi ,1997.0,Return+of+the+Jedi,
GoodFellas ,1990.0,GoodFellas,
Alien ,1979.0,Alien,
Army of Darkness ,1993.0,Army+of+Darkness,
Psycho ,1960.0,Psycho,
"Blues Brothers, The ",1980.0,"Blues+Brothers,+The",
"Godfather: Part II, The ",1974.0,"Godfather:+Part+II,+The",
Full Metal Jacket ,1987.0,Full+Metal+Jacket,
"Grand Day Out, A ",1992.0,"Grand+Day+Out,+A",
Henry V ,1989.0,Henry+V,
Amadeus ,1984.0,Amadeus,
Raging Bull ,1980.0,Raging+Bull,
"Right Stuff, The ",1983.0,"Right+Stuff,+The",
"Sting, The ",1973.0,"Sting,+The",
"Terminator, The ",1984.0,"Terminator,+The",
Dead Poets Society ,1989.0,Dead+Poets+Society,
"Graduate, The ",1967.0,"Graduate,+The",
Nikita (La Femme Nikita) ,1990.0,Nikita,
"Bridge on the River Kwai, The ",1957.0,"Bridge+on+the+River+Kwai,+The",
"Shining, The ",1980.0,"Shining,+The",
Evil Dead II ,1987.0,Evil+Dead+II,
Groundhog Day ,1993.0,Groundhog+Day,
Unforgiven ,1992.0,Unforgiven,
Back to the Future ,1985.0,Back+to+the+Future,
Patton ,1970.0,Patton,
Akira ,1988.0,Akira,
Cyrano de Bergerac ,1990.0,Cyrano+de+Bergerac,
Young Frankenstein ,1974.0,Young+Frankenstein,
This Is Spinal Tap ,1984.0,This+Is+Spinal+Tap,
Indiana Jones and the Last Crusade ,1989.0,Indiana+Jones+and+the+Last+Crusade,
M*A*S*H ,1970.0,M*A*S*H,
"Unbearable Lightness of Being, The ",1988.0,"Unbearable+Lightness+of+Being,+The",
"Room with a View, A ",1986.0,"Room+with+a+View,+A",
Pink Floyd - The Wall ,1982.0,Pink+Floyd+-+The+Wall,
Field of Dreams ,1989.0,Field+of+Dreams,
When Harry Met Sally... ,1989.0,When+Harry+Met+Sally...,
Bram Stoker's Dracula ,1992.0,Bram+Stoker's+Dracula,
Cape Fear ,1991.0,Cape+Fear,
"Nightmare on Elm Street, A ",1984.0,"Nightmare+on+Elm+Street,+A",
"Mirror Has Two Faces, The ",1996.0,"Mirror+Has+Two+Faces,+The",
Breaking the Waves ,1996.0,Breaking+the+Waves,
Star Trek: First Contact ,1996.0,Star+Trek:+First+Contact,
Sling Blade ,1996.0,Sling+Blade,
Ridicule ,1996.0,Ridicule,
101 Dalmatians ,1996.0,101+Dalmatians,
Die Hard 2 ,1990.0,Die+Hard+2,
Star Trek VI: The Undiscovered Country ,1991.0,Star+Trek+VI:+The+Undiscovered+Country,
Star Trek: The Wrath of Khan ,1982.0,Star+Trek:+The+Wrath+of+Khan,
Star Trek III: The Search for Spock ,1984.0,Star+Trek+III:+The+Search+for+Spock,
Star Trek IV: The Voyage Home ,1986.0,Star+Trek+IV:+The+Voyage+Home,
Batman Returns ,1992.0,Batman+Returns,
Young Guns ,1988.0,Young+Guns,
Under Siege ,1992.0,Under+Siege,
Jaws ,1975.0,Jaws,
Mars Attacks! ,1996.0,Mars+Attacks!,
Citizen Ruth ,1996.0,Citizen+Ruth,
Jerry Maguire ,1996.0,Jerry+Maguire,
Raising Arizona ,1987.0,Raising+Arizona,
Sneakers ,1992.0,Sneakers,
Beavis and Butt-head Do America ,1996.0,Beavis+and+Butt-head+Do+America,
"Last of the Mohicans, The ",1992.0,"Last+of+the+Mohicans,+The",
Kolya ,1997.0,Kolya,
Jungle2Jungle ,1997.0,Jungle2Jungle,-1.0
Smilla's Sense of Snow ,1997.0,Smilla's+Sense+of+Snow,
"Devil's Own, The ",1997.0,"Devil's+Own,+The",
Chasing Amy ,1997.0,Chasing+Amy,
Turbo: A Power Rangers Movie ,1997.0,Turbo:+A+Power+Rangers+Movie,
Grosse Pointe Blank ,1997.0,Grosse+Pointe+Blank,
Austin Powers: International Man of Mystery ,1997.0,Austin+Powers:+International+Man+of+Mystery,
"Fifth Element, The ",1997.0,"Fifth+Element,+The",
Shall We Dance? ,1997.0,Shall+We+Dance?,
"Lost World: Jurassic Park, The ",1997.0,"Lost+World:+Jurassic+Park,+The",
"Pillow Book, The ",1997.0,"Pillow+Book,+The",
Batman & Robin ,1997.0,Batman+&+Robin,
My Best Friend's Wedding ,1997.0,My+Best+Friend's+Wedding,
When the Cats Away (Chacun cherche son chat) ,1997.0,When+the+Cats+Away,
Men in Black ,1997.0,Men+in+Black,
Contact ,1997.0,Contact,
George of the Jungle ,1997.0,George+of+the+Jungle,
Event Horizon ,1997.0,Event+Horizon,
Air Bud ,1997.0,Air+Bud,
In the Company of Men ,1997.0,In+the+Company+of+Men,
Steel ,1997.0,Steel,
Mimic ,1997.0,Mimic,
"Hunt for Red October, The ",1990.0,"Hunt+for+Red+October,+The",
Kull the Conqueror ,1997.0,Kull+the+Conqueror,
u,,,
Chasing Amy ,1997.0,Chasing+Amy,
"Full Monty, The ",1997.0,"Full+Monty,+The",
Gattaca ,1997.0,Gattaca,
Starship Troopers ,1997.0,Starship+Troopers,
Good Will Hunting ,1997.0,Good+Will+Hunting,
Heat ,1995.0,Heat,
Sabrina ,1995.0,Sabrina,
Sense and Sensibility ,1995.0,Sense+and+Sensibility,
Leaving Las Vegas ,1995.0,Leaving+Las+Vegas,
Restoration ,1995.0,Restoration,
Bed of Roses ,1996.0,Bed+of+Roses,
Once Upon a Time... When We Were Colored ,1995.0,Once+Upon+a+Time...+When+We+Were+Colored,
Up Close and Personal ,1996.0,Up+Close+and+Personal,
"River Wild, The ",1994.0,"River+Wild,+The",
"Time to Kill, A ",1996.0,"Time+to+Kill,+A",
Emma ,1996.0,Emma,
Tin Cup ,1996.0,Tin+Cup,
Secrets & Lies ,1996.0,Secrets+&+Lies,
"English Patient, The ",1996.0,"English+Patient,+The",
Marvin's Room ,1996.0,Marvin's+Room,
Scream ,1996.0,Scream,
Evita ,1996.0,Evita,
Fierce Creatures ,1997.0,Fierce+Creatures,
Absolute Power ,1997.0,Absolute+Power,
Rosewood ,1997.0,Rosewood,
Donnie Brasco ,1997.0,Donnie+Brasco,
Liar Liar ,1997.0,Liar+Liar,
Breakdown ,1997.0,Breakdown,
"Promesse, La ",1997.0,"Promesse,+La",
Ulee's Gold ,1997.0,Ulee's+Gold,
Face/Off ,1997.0,Face/Off,
Hoodlum ,1997.0,Hoodlum,
Air Force One ,1997.0,Air+Force+One,
In & Out ,1997.0,In+&+Out,
L.A. Confidential ,1997.0,L.A.+Confidential,
Ulee's Gold ,1997.0,Ulee's+Gold,
Fly Away Home ,1996.0,Fly+Away+Home,
"Ice Storm, The ",1997.0,"Ice+Storm,+The",
"Mrs. Brown (Her Majesty, Mrs. Brown) ",1997.0,Mrs.+Brown,
"Devil's Advocate, The ",1997.0,"Devil's+Advocate,+The",
FairyTale: A True Story ,1997.0,FairyTale:+A+True+Story,
Deceiver ,1997.0,Deceiver,
"Rainmaker, The ",1997.0,"Rainmaker,+The",
"Wings of the Dove, The ",1997.0,"Wings+of+the+Dove,+The",
Midnight in the Garden of Good and Evil ,1997.0,Midnight+in+the+Garden+of+Good+and+Evil,
Titanic ,1997.0,Titanic,
3 Ninjas: High Noon At Mega Mountain ,1997.0,3+Ninjas:+High+Noon+At+Mega+Mountain,
Apt Pupil ,1998.0,Apt+Pupil,
As Good As It Gets ,1997.0,As+Good+As+It+Gets,
In the Name of the Father ,1993.0,In+the+Name+of+the+Father,
Schindler's List ,1993.0,Schindler's+List,
Everyone Says I Love You ,1996.0,Everyone+Says+I+Love+You,
Paradise Lost: The Child Murders at Robin Hood Hills ,1996.0,Paradise+Lost:+The+Child+Murders+at+Robin+Hood+Hills,
Mother ,1996.0,Mother,
Murder at 1600 ,1997.0,Murder+at+1600,
Dante's Peak ,1997.0,Dante's+Peak,
Lost Highway ,1997.0,Lost+Highway,
Crash ,1997.0,Crash,
G.I. Jane ,1997.0,G.I.+Jane,
Cop Land ,1997.0,Cop+Land,
Conspiracy Theory ,1997.0,Conspiracy+Theory,
Desperate Measures ,1998.0,Desperate+Measures,
187 ,1997.0,187,
"Edge, The ",1997.0,"Edge,+The",
Kiss the Girls ,1997.0,Kiss+the+Girls,
"Game, The ",1997.0,"Game,+The",
U Turn ,1997.0,U+Turn,
How to Be a Player ,1997.0,How+to+Be+a+Player,
Playing God ,1997.0,Playing+God,
"House of Yes, The ",1997.0,"House+of+Yes,+The",
Bean ,1997.0,Bean,
Mad City ,1997.0,Mad+City,
Boogie Nights ,1997.0,Boogie+Nights,
Critical Care ,1997.0,Critical+Care,
"Man Who Knew Too Little, The ",1997.0,"Man+Who+Knew+Too+Little,+The",
Alien: Resurrection ,1997.0,Alien:+Resurrection,
"Apostle, The ",1997.0,"Apostle,+The",
Deconstructing Harry ,1997.0,Deconstructing+Harry,
Jackie Brown ,1997.0,Jackie+Brown,
Wag the Dog ,1998.0,Wag+the+Dog,
Desperate Measures ,1998.0,Desperate+Measures,
Hard Rain ,1998.0,Hard+Rain,
Fallen ,1998.0,Fallen,
"Prophecy II, The ",1998.0,"Prophecy+II,+The",
Spice World ,1997.0,Spice+World,
Deep Rising ,1998.0,Deep+Rising,
"Wedding Singer, The ",1998.0,"Wedding+Singer,+The",
Sphere ,1998.0,Sphere,
"Client, The ",1994.0,"Client,+The",
One Flew Over the Cuckoo's Nest ,1975.0,One+Flew+Over+the+Cuckoo's+Nest,
Spawn ,1997.0,Spawn,
"Assignment, The ",1997.0,"Assignment,+The",
Wonderland ,1997.0,Wonderland,
Incognito ,1997.0,Incognito,
Blues Brothers 2000 ,1998.0,Blues+Brothers+2000,
Sudden Death ,1995.0,Sudden+Death,
Ace Ventura: When Nature Calls ,1995.0,Ace+Ventura:+When+Nature+Calls,
Powder ,1995.0,Powder,
Dangerous Minds ,1995.0,Dangerous+Minds,
Clueless ,1995.0,Clueless,
Bio-Dome ,1996.0,Bio-Dome,
Black Sheep ,1996.0,Black+Sheep,
Mary Reilly ,1996.0,Mary+Reilly,
"Bridges of Madison County, The ",1996.0,"Bridges+of+Madison+County,+The",
Jeffrey ,1995.0,Jeffrey,
Judge Dredd ,1995.0,Judge+Dredd,
Mighty Morphin Power Rangers: The Movie ,1995.0,Mighty+Morphin+Power+Rangers:+The+Movie,
Showgirls ,1995.0,Showgirls,
Houseguest ,1994.0,Houseguest,
Heavyweights ,1994.0,Heavyweights,
Miracle on 34th Street ,1994.0,Miracle+on+34th+Street,
Tales From the Crypt Presents: Demon Knight ,1995.0,Tales+From+the+Crypt+Presents:+Demon+Knight,
Star Trek: Generations ,1994.0,Star+Trek:+Generations,
Muriel's Wedding ,1994.0,Muriel's+Wedding,
"Adventures of Priscilla, Queen of the Desert, The ",1994.0,"Adventures+of+Priscilla,+Queen+of+the+Desert,+The",
"Flintstones, The ",1994.0,"Flintstones,+The",
Naked Gun 33 1/3: The Final Insult ,1994.0,Naked+Gun+33+1/3:+The+Final+Insult,
True Lies ,1994.0,True+Lies,
Addams Family Values ,1993.0,Addams+Family+Values,
"Age of Innocence, The ",1993.0,"Age+of+Innocence,+The",
Beverly Hills Cop III ,1994.0,Beverly+Hills+Cop+III,
Black Beauty ,1994.0,Black+Beauty,
Fear of a Black Hat ,1993.0,Fear+of+a+Black+Hat,
Last Action Hero ,1993.0,Last+Action+Hero,
"Man Without a Face, The ",1993.0,"Man+Without+a+Face,+The",
Mrs. Doubtfire ,1993.0,Mrs.+Doubtfire,
Radioland Murders ,1994.0,Radioland+Murders,
Robin Hood: Men in Tights ,1993.0,Robin+Hood:+Men+in+Tights,
Serial Mom ,1994.0,Serial+Mom,
Striking Distance ,1993.0,Striking+Distance,
Super Mario Bros. ,1993.0,Super+Mario+Bros.,
"Three Musketeers, The ",1993.0,"Three+Musketeers,+The",
"Little Rascals, The ",1994.0,"Little+Rascals,+The",
"Brady Bunch Movie, The ",1995.0,"Brady+Bunch+Movie,+The",
Ghost ,1990.0,Ghost,
Batman ,1989.0,Batman,
Pinocchio ,1940.0,Pinocchio,
Mission: Impossible ,1996.0,Mission:+Impossible,
Thinner ,1996.0,Thinner,
Spy Hard ,1996.0,Spy+Hard,
"Close Shave, A ",1996.0,"Close+Shave,+A",
Jack ,1996.0,Jack,
Kingpin ,1996.0,Kingpin,
"Nutty Professor, The ",1996.0,"Nutty+Professor,+The",
"Very Brady Sequel, A ",1996.0,"Very+Brady+Sequel,+A",
Tales from the Crypt Presents: Bordello of Blood ,1996.0,Tales+from+the+Crypt+Presents:+Bordello+of+Blood,
My Favorite Year ,1982.0,My+Favorite+Year,
"Apple Dumpling Gang, The ",1975.0,"Apple+Dumpling+Gang,+The",
Old Yeller ,1957.0,Old+Yeller,
"Parent Trap, The ",1961.0,"Parent+Trap,+The",
Cinderella ,1950.0,Cinderella,
Mary Poppins ,1964.0,Mary+Poppins,
Alice in Wonderland ,1951.0,Alice+in+Wonderland,
William Shakespeare's Romeo and Juliet ,1996.0,William+Shakespeare's+Romeo+and+Juliet,
Aladdin and the King of Thieves ,1996.0,Aladdin+and+the+King+of+Thieves,
E.T. the Extra-Terrestrial ,1982.0,E.T.+the+Extra-Terrestrial,
Children of the Corn: The Gathering ,1996.0,Children+of+the+Corn:+The+Gathering,
Bob Roberts ,1992.0,Bob+Roberts,
"Transformers: The Movie, The ",1986.0,"Transformers:+The+Movie,+The",
To Kill a Mockingbird ,1962.0,To+Kill+a+Mockingbird,
Harold and Maude ,1971.0,Harold+and+Maude,
"Day the Earth Stood Still, The ",1951.0,"Day+the+Earth+Stood+Still,+The",
Duck Soup ,1933.0,Duck+Soup,
Highlander ,1986.0,Highlander,
Fantasia ,1940.0,Fantasia,
Heathers ,1989.0,Heathers,
Forbidden Planet ,1956.0,Forbidden+Planet,
Butch Cassidy and the Sundance Kid ,1969.0,Butch+Cassidy+and+the+Sundance+Kid,
"American Werewolf in London, An ",1981.0,"American+Werewolf+in+London,+An",
Amityville 1992: It's About Time ,1992.0,Amityville+1992:+It's+About+Time,
Amityville 3-D ,1983.0,Amityville+3-D,
Amityville: A New Generation ,1993.0,Amityville:+A+New+Generation,
Amityville II: The Possession ,1982.0,Amityville+II:+The+Possession,
"Amityville Horror, The ",1979.0,"Amityville+Horror,+The",
"Amityville Curse, The ",1990.0,"Amityville+Curse,+The",
"Birds, The ",1963.0,"Birds,+The",
"Blob, The ",1958.0,"Blob,+The",
"Body Snatcher, The ",1945.0,"Body+Snatcher,+The",
Burnt Offerings ,1976.0,Burnt+Offerings,
Carrie ,1976.0,Carrie,
"Omen, The ",1976.0,"Omen,+The",
Star Trek: The Motion Picture ,1979.0,Star+Trek:+The+Motion+Picture,
Star Trek V: The Final Frontier ,1989.0,Star+Trek+V:+The+Final+Frontier,
Grease ,1978.0,Grease,
Jaws 2 ,1978.0,Jaws+2,
Jaws 3-D ,1983.0,Jaws+3-D,
Bastard Out of Carolina ,1996.0,Bastard+Out+of+Carolina,
Jackie Chan's First Strike ,1997.0,Jackie+Chan's+First+Strike,
Beverly Hills Ninja ,1997.0,Beverly+Hills+Ninja,
Free Willy 3: The Rescue ,1997.0,Free+Willy+3:+The+Rescue,
Nixon ,1995.0,Nixon,
"Cry, the Beloved Country ",1995.0,"Cry,+the+Beloved+Country",
"Crossing Guard, The ",1995.0,"Crossing+Guard,+The",
Smoke ,1995.0,Smoke,
Like Water For Chocolate (Como agua para chocolate) ,1992.0,Like+Water+For+Chocolate,
"Secret of Roan Inish, The ",1994.0,"Secret+of+Roan+Inish,+The",
Vanya on 42nd Street ,1994.0,Vanya+on+42nd+Street,
"Jungle Book, The ",1994.0,"Jungle+Book,+The",
Red Rock West ,1992.0,Red+Rock+West,
"Bronx Tale, A ",1993.0,"Bronx+Tale,+A",
Rudy ,1993.0,Rudy,
Short Cuts ,1993.0,Short+Cuts,
Tombstone ,1993.0,Tombstone,
Courage Under Fire ,1996.0,Courage+Under+Fire,
Dragonheart ,1996.0,Dragonheart,
James and the Giant Peach ,1996.0,James+and+the+Giant+Peach,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1963.0,Dr.+Strangelove+or:+How+I+Learned+to+Stop+Worrying+and+Love+the+Bomb,
Trainspotting ,1996.0,Trainspotting,
"First Wives Club, The ",1996.0,"First+Wives+Club,+The",
Matilda ,1996.0,Matilda,
"Philadelphia Story, The ",1940.0,"Philadelphia+Story,+The",
Vertigo ,1958.0,Vertigo,
North by Northwest ,1959.0,North+by+Northwest,
"Apartment, The ",1960.0,"Apartment,+The",
Some Like It Hot ,1959.0,Some+Like+It+Hot,
Casablanca ,1942.0,Casablanca,
"Maltese Falcon, The ",1941.0,"Maltese+Falcon,+The",
My Fair Lady ,1964.0,My+Fair+Lady,
Sabrina ,1954.0,Sabrina,
Roman Holiday ,1953.0,Roman+Holiday,
Sunset Blvd. ,1950.0,Sunset+Blvd.,
Notorious ,1946.0,Notorious,
To Catch a Thief ,1955.0,To+Catch+a+Thief,
"Adventures of Robin Hood, The ",1938.0,"Adventures+of+Robin+Hood,+The",
East of Eden ,1955.0,East+of+Eden,
"Thin Man, The ",1934.0,"Thin+Man,+The",
His Girl Friday ,1940.0,His+Girl+Friday,
Around the World in 80 Days ,1956.0,Around+the+World+in+80+Days,
It's a Wonderful Life ,1946.0,It's+a+Wonderful+Life,
Bringing Up Baby ,1938.0,Bringing+Up+Baby,
"African Queen, The ",1951.0,"African+Queen,+The",
Cat on a Hot Tin Roof ,1958.0,Cat+on+a+Hot+Tin+Roof,
Fly Away Home ,1996.0,Fly+Away+Home,
Dumbo ,1941.0,Dumbo,
Bananas ,1971.0,Bananas,
"Candidate, The ",1972.0,"Candidate,+The",
