movie_title,year,tmdb_id,movie_id
"20,000 Leagues Under the Sea ",1954,173,141
Bedknobs and Broomsticks ,1971,12335,142
"Sound of Music, The ",1965,15121,143
Die Hard ,1988,562,144
"Lawnmower Man, The ",1992,10163,145
Unhook the Stars ,1996,48862,146
"Long Kiss Goodnight, The ",1996,11412,147
"Ghost and the Darkness, The ",1996,10586,148
Jude ,1996,25147,149
Swingers ,1996,10218,150
Willy Wonka and the Chocolate Factory ,1971,252,151
Sleeper ,1973,11561,152
"Fish Called Wanda, A ",1988,623,153
Monty Python's Life of Brian ,1979,583,154
Dirty Dancing ,1987,88,155
Reservoir Dogs ,1992,500,156
Platoon ,1986,792,157
Weekend at Bernie's ,1989,8491,158
Basic Instinct ,1992,402,159
Glengarry Glen Ross ,1992,9504,160
Top Gun ,1986,744,161
On Golden Pond ,1981,11816,162
"Return of the Pink Panther, The ",1974,11843,163
"Abyss, The ",1989,2756,164
Jean de Florette ,1986,4480,165
Manon of the Spring (Manon des sources) ,1986,4481,166
Private Benjamin ,1980,10765,167
Monty Python and the Holy Grail ,1974,762,168
"Wrong Trousers, The ",1993,531,169
Cinema Paradiso ,1988,11216,170
Delicatessen ,1991,892,171
"Empire Strikes Back, The ",1980,1891,172
"Princess Bride, The ",1987,2493,173
Raiders of the Lost Ark ,1981,85,174
Brazil ,1985,68,175
Aliens ,1986,679,176
"Good, The Bad and The Ugly, The ",1966,429,177
12 Angry Men ,1957,389,178
"Clockwork Orange, A ",1971,185,179
Apocalypse Now ,1979,28,180
Return of the Jedi ,1997,1892,181
GoodFellas ,1990,769,182
Alien ,1979,348,183
Army of Darkness ,1993,766,184
Psycho ,1960,539,185
"Blues Brothers, The ",1980,525,186
"Godfather: Part II, The ",1974,240,187
Full Metal Jacket ,1987,600,188
"Grand Day Out, A ",1992,530,189
Henry V ,1989,10705,190
Amadeus ,1984,279,191
Raging Bull ,1980,1578,192
"Right Stuff, The ",1983,9549,193
"Sting, The ",1973,9277,194
"Terminator, The ",1984,218,195
Dead Poets Society ,1989,207,196
"Graduate, The ",1967,37247,197
Nikita (La Femme Nikita) ,1990,9322,198
"Bridge on the River Kwai, The ",1957,826,199
"Shining, The ",1980,694,200
Evil Dead II ,1987,765,201
Groundhog Day ,1993,137,202
Unforgiven ,1992,33,203
Back to the Future ,1985,105,204
Patton ,1970,11202,205
Akira ,1988,149,206
Cyrano de Bergerac ,1990,11673,207
Young Frankenstein ,1974,3034,208
This Is Spinal Tap ,1984,11031,209
Indiana Jones and the Last Crusade ,1989,89,210
M*A*S*H ,1970,651,211
"Unbearable Lightness of Being, The ",1988,10644,212
"Room with a View, A ",1986,11257,213
Pink Floyd - The Wall ,1982,12104,214
Field of Dreams ,1989,2323,215
When Harry Met Sally... ,1989,639,216
Bram Stoker's Dracula ,1992,6114,217
Cape Fear ,1991,1598,218
"Nightmare on Elm Street, A ",1984,377,219
"Mirror Has Two Faces, The ",1996,25189,220
Breaking the Waves ,1996,145,221
Star Trek: First Contact ,1996,199,222
Sling Blade ,1996,12498,223
Ridicule ,1996,12709,224
101 Dalmatians ,1996,11674,225
Die Hard 2 ,1990,1573,226
Star Trek VI: The Undiscovered Country ,1991,174,227
Star Trek: The Wrath of Khan ,1982,154,228
Star Trek III: The Search for Spock ,1984,157,229
Star Trek IV: The Voyage Home ,1986,168,230
Batman Returns ,1992,364,231
Young Guns ,1988,11967,232
Under Siege ,1992,8845,233
Jaws ,1975,578,234
Mars Attacks! ,1996,75,235
Citizen Ruth ,1996,13891,236
Jerry Maguire ,1996,9390,237
Raising Arizona ,1987,378,238
Sneakers ,1992,2322,239
Beavis and Butt-head Do America ,1996,3179,240
"Last of the Mohicans, The ",1992,9361,241
Kolya ,1997,784,242
Jungle2Jungle ,1997,-1,243
Smilla's Sense of Snow ,1997,9311,244
"Devil's Own, The ",1997,4477,245
Chasing Amy ,1997,2255,246
Turbo: A Power Rangers Movie ,1997,6499,247
Grosse Pointe Blank ,1997,9434,248
Austin Powers: International Man of Mystery ,1997,816,249
"Fifth Element, The ",1997,18,250
Shall We Dance? ,1997,11239,251
"Lost World: Jurassic Park, The ",1997,330,252
"Pillow Book, The ",1997,26422,253
Batman & Robin ,1997,415,254
My Best Friend's Wedding ,1997,8874,255
When the Cats Away (Chacun cherche son chat) ,1997,11956,256
Men in Black ,1997,607,257
Contact ,1997,686,258
George of the Jungle ,1997,10603,259
Event Horizon ,1997,8413,260
Air Bud ,1997,20737,261
In the Company of Men ,1997,14585,262
Steel ,1997,8854,263
Mimic ,1997,4961,264
"Hunt for Red October, The ",1990,1669,265
Kull the Conqueror ,1997,17832,266
Chasing Amy ,1997,2255,268
"Full Monty, The ",1997,9427,269
Gattaca ,1997,782,270
Starship Troopers ,1997,563,271
Good Will Hunting ,1997,489,272
Heat ,1995,949,273
Sabrina ,1995,11860,274
Sense and Sensibility ,1995,4584,275
Leaving Las Vegas ,1995,451,276
Restoration ,1995,35196,277
Bed of Roses ,1996,20927,278
Once Upon a Time... When We Were Colored ,1995,146599,279
Up Close and Personal ,1996,9302,280
"River Wild, The ",1994,8987,281
"Time to Kill, A ",1996,1645,282
Emma ,1996,3573,283
Tin Cup ,1996,10478,284
Secrets & Lies ,1996,11159,285
"English Patient, The ",1996,409,286
Marvin's Room ,1996,9819,287
Scream ,1996,4232,288
Evita ,1996,8818,289
Fierce Creatures ,1997,12145,290
Absolute Power ,1997,66,291
Rosewood ,1997,25624,292
Donnie Brasco ,1997,9366,293
Liar Liar ,1997,1624,294
Breakdown ,1997,2163,295
"Promesse, La ",1997,24183,296
Ulee's Gold ,1997,55306,297
Face/Off ,1997,754,298
Hoodlum ,1997,22073,299
Air Force One ,1997,9772,300
In & Out ,1997,607,301
L.A. Confidential ,1997,2118,302
Ulee's Gold ,1997,55306,303
Fly Away Home ,1996,11076,304
"Ice Storm, The ",1997,68924,305
"Mrs. Brown (Her Majesty, Mrs. Brown) ",1997,17589,306
"Devil's Advocate, The ",1997,1813,307
FairyTale: A True Story ,1997,29911,308
Deceiver ,1997,14583,309
"Rainmaker, The ",1997,11975,310
"Wings of the Dove, The ",1997,45609,311
Midnight in the Garden of Good and Evil ,1997,8197,312
Titanic ,1997,597,313
3 Ninjas: High Noon At Mega Mountain ,1997,32302,314
Apt Pupil ,1998,9445,315
As Good As It Gets ,1997,2898,316
In the Name of the Father ,1993,7984,317
Schindler's List ,1993,424,318
Everyone Says I Love You ,1996,9716,319
Paradise Lost: The Child Murders at Robin Hood Hills ,1996,17204,320
Mother ,1996,27265,321
Murder at 1600 ,1997,9415,322
Dante's Peak ,1997,9619,323
Lost Highway ,1997,638,324
Crash ,1997,884,325
G.I. Jane ,1997,4421,326
Cop Land ,1997,2142,327
Conspiracy Theory ,1997,8834,328
Desperate Measures ,1998,9458,329
187 ,1997,6072,330
"Edge, The ",1997,9433,331
Kiss the Girls ,1997,9437,332
"Game, The ",1997,2649,333
U Turn ,1997,10155,334
How to Be a Player ,1997,28353,335
Playing God ,1997,12628,336
"House of Yes, The ",1997,33344,337
Bean ,1997,1281,338
Mad City ,1997,9770,339
Boogie Nights ,1997,4995,340
Critical Care ,1997,61337,341
"Man Who Knew Too Little, The ",1997,9414,342
Alien: Resurrection ,1997,8078,343
"Apostle, The ",1997,2895,344
Deconstructing Harry ,1997,2639,345
Jackie Brown ,1997,184,346
Wag the Dog ,1998,586,347
Desperate Measures ,1998,9458,348
Hard Rain ,1998,11258,349
Fallen ,1998,9411,350
"Prophecy II, The ",1998,9033,351
Spice World ,1997,6116,352
Deep Rising ,1998,9457,353
"Wedding Singer, The ",1998,11003,354
Sphere ,1998,10153,355
"Client, The ",1994,10731,356
One Flew Over the Cuckoo's Nest ,1975,510,357
Spawn ,1997,10336,358
"Assignment, The ",1997,18355,359
Wonderland ,1997,251481,360
Incognito ,1997,45928,361
Blues Brothers 2000 ,1998,11568,362
Sudden Death ,1995,9091,363
Ace Ventura: When Nature Calls ,1995,9273,364
Powder ,1995,12665,365
Dangerous Minds ,1995,9909,366
Clueless ,1995,9603,367
Bio-Dome ,1996,9536,368
Black Sheep ,1996,13997,369
Mary Reilly ,1996,9095,370
"Bridges of Madison County, The ",1996,688,371
Jeffrey ,1995,17447,372
Judge Dredd ,1995,9482,373
Mighty Morphin Power Rangers: The Movie ,1995,9070,374
Showgirls ,1995,10802,375
Houseguest ,1994,17207,376
Heavyweights ,1994,350053,377
Miracle on 34th Street ,1994,10510,378
Tales From the Crypt Presents: Demon Knight ,1995,9059,379
Star Trek: Generations ,1994,193,380
Muriel's Wedding ,1994,236,381
"Adventures of Priscilla, Queen of the Desert, The ",1994,2759,382
"Flintstones, The ",1994,888,383
Naked Gun 33 1/3: The Final Insult ,1994,36593,384
True Lies ,1994,36955,385
Addams Family Values ,1993,2758,386
"Age of Innocence, The ",1993,10436,387
Beverly Hills Cop III ,1994,306,388
Black Beauty ,1994,14522,389
Fear of a Black Hat ,1993,20239,390
Last Action Hero ,1993,9593,391
"Man Without a Face, The ",1993,10502,392
Mrs. Doubtfire ,1993,788,393
Radioland Murders ,1994,22588,394
Robin Hood: Men in Tights ,1993,8005,395
Serial Mom ,1994,11592,396
Striking Distance ,1993,11074,397
Super Mario Bros. ,1993,9607,398
"Three Musketeers, The ",1993,10057,399
"Little Rascals, The ",1994,10897,400
"Brady Bunch Movie, The ",1995,9066,401
Ghost ,1990,251,402
Batman ,1989,268,403
Pinocchio ,1940,10895,404
Mission: Impossible ,1996,954,405
Thinner ,1996,10280,406
Spy Hard ,1996,10535,407
"Close Shave, A ",1996,532,408
Jack ,1996,7095,409
Kingpin ,1996,11543,410
"Nutty Professor, The ",1996,9327,411
"Very Brady Sequel, A ",1996,12606,412
Tales from the Crypt Presents: Bordello of Blood ,1996,9431,413
My Favorite Year ,1982,31044,414
"Apple Dumpling Gang, The ",1975,18660,415
Old Yeller ,1957,22660,416
"Parent Trap, The ",1961,19186,417
Cinderella ,1950,11224,418
Mary Poppins ,1964,433,419
Alice in Wonderland ,1951,12092,420
William Shakespeare's Romeo and Juliet ,1996,454,421
Aladdin and the King of Thieves ,1996,11238,422
E.T. the Extra-Terrestrial ,1982,601,423
Children of the Corn: The Gathering ,1996,25750,424
Bob Roberts ,1992,10608,425
"Transformers: The Movie, The ",1986,1857,426
To Kill a Mockingbird ,1962,595,427
Harold and Maude ,1971,343,428
"Day the Earth Stood Still, The ",1951,828,429
Duck Soup ,1933,3063,430
Highlander ,1986,8009,431
Fantasia ,1940,756,432
Heathers ,1989,2640,433
Forbidden Planet ,1956,830,434
Butch Cassidy and the Sundance Kid ,1969,642,435
"American Werewolf in London, An ",1981,814,436
Amityville 1992: It's About Time ,1992,41671,437
Amityville 3-D ,1983,27214,438
Amityville: A New Generation ,1993,33519,439
Amityville II: The Possession ,1982,16235,440
"Amityville Horror, The ",1979,11449,441
"Amityville Curse, The ",1990,41848,442
"Birds, The ",1963,571,443
"Blob, The ",1958,8851,444
"Body Snatcher, The ",1945,30346,445
Burnt Offerings ,1976,13549,446
Carrie ,1976,7340,447
"Omen, The ",1976,794,448
Star Trek: The Motion Picture ,1979,152,449
Star Trek V: The Final Frontier ,1989,172,450
Grease ,1978,621,451
Jaws 2 ,1978,579,452
Jaws 3-D ,1983,17692,453
Bastard Out of Carolina ,1996,41240,454
Jackie Chan's First Strike ,1997,9404,455
Beverly Hills Ninja ,1997,9622,456
Free Willy 3: The Rescue ,1997,18519,457
Nixon ,1995,10858,458
"Cry, the Beloved Country ",1995,34615,459
"Crossing Guard, The ",1995,27526,460
Smoke ,1995,10149,461
Like Water For Chocolate (Como agua para chocolate) ,1992,18183,462
"Secret of Roan Inish, The ",1994,14334,463
Vanya on 42nd Street ,1994,32636,464
"Jungle Book, The ",1994,10714,465
Red Rock West ,1992,10427,466
"Bronx Tale, A ",1993,1607,467
Rudy ,1993,14534,468
Short Cuts ,1993,695,469
Tombstone ,1993,11969,470
Courage Under Fire ,1996,10684,471
Dragonheart ,1996,8840,472
James and the Giant Peach ,1996,10539,473
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1963,935,474
Trainspotting ,1996,627,475
"First Wives Club, The ",1996,2925,476
Matilda ,1996,10830,477
"Philadelphia Story, The ",1940,981,478
Vertigo ,1958,426,479
North by Northwest ,1959,213,480
"Apartment, The ",1960,284,481
Some Like It Hot ,1959,239,482
Casablanca ,1942,289,483
"Maltese Falcon, The ",1941,963,484
My Fair Lady ,1964,11113,485
Sabrina ,1954,6620,486
Roman Holiday ,1953,804,487
Sunset Blvd. ,1950,599,488
Notorious ,1946,303,489
To Catch a Thief ,1955,381,490
"Adventures of Robin Hood, The ",1938,10907,491
East of Eden ,1955,220,492
"Thin Man, The ",1934,3529,493
His Girl Friday ,1940,3085,494
Around the World in 80 Days ,1956,2897,495
It's a Wonderful Life ,1946,1585,496
Bringing Up Baby ,1938,900,497
"African Queen, The ",1951,488,498
Cat on a Hot Tin Roof ,1958,261,499
Fly Away Home ,1996,11076,500
Dumbo ,1941,11360,501
Bananas ,1971,11302,502
"Candidate, The ",1972,21711,503
Bonnie and Clyde ,1967,475,504
Dial M for Murder ,1954,521,505
Rebel Without a Cause ,1955,221,506
"Streetcar Named Desire, A ",1951,702,507
"People vs. Larry Flynt, The ",1996,1630,508
My Left Foot ,1989,10161,509
"Magnificent Seven, The ",1954,346,510
Lawrence of Arabia ,1962,947,511
Wings of Desire ,1987,144,512
"Third Man, The ",1949,1092,513
Annie Hall ,1977,703,514
"Boot, Das ",1997,387,515
Local Hero ,1983,11235,516
Manhattan ,1979,696,517
Miller's Crossing ,1990,379,518
"Treasure of the Sierra Madre, The ",1948,3090,519
"Great Escape, The ",1963,5925,520
"Deer Hunter, The ",1978,11778,521
Down by Law ,1986,1554,522
Cool Hand Luke ,1967,903,523
"Great Dictator, The ",1940,914,524
"Big Sleep, The ",1946,910,525
Ben-Hur ,1959,665,526
Gandhi ,1982,783,527
"Killing Fields, The ",1984,625,528
My Life as a Dog (Mitt liv som hund) ,1985,8816,529
"Man Who Would Be King, The ",1975,983,530
Shine ,1996,7863,531
Kama Sutra: A Tale of Love ,1997,28005,532
"Daytrippers, The ",1997,49806,533
Traveller ,1997,31465,534
Addicted to Love ,1997,2058,535
Ponette ,1997,38523,536
My Own Private Idaho ,1991,468,537
Anastasia ,1997,9444,538
Mouse Hunt ,1997,6283,539
Money Train ,1995,11517,540
Mortal Kombat ,1995,9312,541
Pocahontas ,1995,10530,542
"Misérables, Les ",1995,-1,543
Things to Do in Denver when You're Dead ,1996,400,544
Vampire in Brooklyn ,1995,12158,545
Broken Arrow ,1996,9208,546
"Young Poisoner's Handbook, The ",1996,16934,547
"NeverEnding Story III, The ",1996,27793,548
Rob Roy ,1995,11780,549
Die Hard: With a Vengeance ,1995,1572,550
Lord of Illusions ,1995,8973,551
Species ,1995,9348,552
"Walk in the Clouds, A ",1995,9560,553
Waterworld ,1995,9804,554
White Man's Burden ,1995,31611,555
Wild Bill ,1995,65796,556
Farinelli: il castrato ,1994,10954,557
Heavenly Creatures ,1994,1024,558
Interview with the Vampire ,1994,628,559
"Kid in King Arthur's Court, A ",1995,37108,560
Mary Shelley's Frankenstein ,1994,3036,561
"Quick and the Dead, The ",1995,12106,562
Stephen King's The Langoliers ,1995,-1,563
Tales from the Hood ,1995,25066,564
Village of the Damned ,1995,12122,565
Clear and Present Danger ,1994,9331,566
Wes Craven's New Nightmare ,1994,11596,567
Speed ,1994,1637,568
Wolf ,1994,10395,569
Wyatt Earp ,1994,12160,570
Another Stakeout ,1993,9409,571
Blown Away ,1994,178,572
Body Snatchers ,1993,4722,573
Boxing Helena ,1993,18215,574
City Slickers II: The Legend of Curly's Gold ,1994,11310,575
Cliffhanger ,1993,9350,576
Coneheads ,1993,9612,577
Demolition Man ,1993,9739,578
Fatal Instinct ,1993,26141,579
"Englishman Who Went Up a Hill, But Came Down a Mountain, The ",1995,10612,580
Kalifornia ,1993,10909,581
"Piano, The ",1993,713,582
Romeo Is Bleeding ,1993,2088,583
"Secret Garden, The ",1993,11236,584
Son in Law ,1993,13203,585
Terminal Velocity ,1994,9057,586
"Hour of the Pig, The ",1993,70912,587
Beauty and the Beast ,1991,10020,588
"Wild Bunch, The ",1969,576,589
Hellraiser: Bloodline ,1996,8766,590
Primal Fear ,1996,1592,591
True Crime ,1995,37144,592
Stalingrad ,1993,11101,593
Heavy ,1996,11827,594
"Fan, The ",1996,9566,595
"Hunchback of Notre Dame, The ",1996,10545,596
Eraser ,1996,9268,597
"Big Squeeze, The ",1996,144982,598
Police Story 4: Project S (Chao ji ji hua) ,1996,-1,599
Daniel Defoe's Robinson Crusoe ,1996,-1,600
For Whom the Bell Tolls ,1943,27854,601
"American in Paris, An ",1951,2769,602
Rear Window ,1954,567,603
It Happened One Night ,1934,3078,604
Meet Me in St. Louis ,1944,909,605
All About Eve ,1950,705,606
Rebecca ,1940,223,607
Spellbound ,1945,4174,608
Father of the Bride ,1950,20758,609
Gigi ,1958,17281,610
Laura ,1944,1939,611
Lost Horizon ,1937,3598,612
My Man Godfrey ,1936,13562,613
Giant ,1956,1712,614
"39 Steps, The ",1935,260,615
Night of the Living Dead ,1968,10331,616
"Blue Angel, The (Blaue Engel, Der) ",1930,228,617
Picnic ,1955,39940,618
Extreme Measures ,1996,11306,619
"Chamber, The ",1996,6346,620
"Davy Crockett, King of the Wild Frontier ",1955,35115,621
Swiss Family Robinson ,1960,18444,622
Angels in the Outfield ,1994,24795,623
"Three Caballeros, The ",1945,15947,624
"Sword in the Stone, The ",1963,9078,625
So Dear to My Heart ,1949,29682,626
Robin Hood: Prince of Thieves ,1991,8367,627
Sleepers ,1996,819,628
Victor/Victoria ,1982,12614,629
"Great Race, The ",1965,11575,630
"Crying Game, The ",1992,11386,631
Sophie's Choice ,1982,15764,632
"Christmas Carol, A ",1938,25842,633
Microcosmos: Le peuple de l'herbe ,1996,9305,634
"Fog, The ",1980,790,635
Escape from New York ,1981,1103,636
"Howling, The ",1981,11298,637
"Return of Martin Guerre, The (Retour de Martin Guerre, Le) ",1982,4483,638
"Tin Drum, The (Blechtrommel, Die) ",1979,659,639
"Cook the Thief His Wife & Her Lover, The ",1989,7452,640
Paths of Glory ,1957,975,641
"Grifters, The ",1990,18129,642
The Innocent ,1994,402838,643
"Thin Blue Line, The ",1988,14285,644
Paris Is Burning ,1990,31225,645
Once Upon a Time in the West ,1969,335,646
Ran ,1985,11645,647
"Quiet Man, The ",1952,3109,648
Once Upon a Time in America ,1984,311,649
"Seventh Seal, The (Sjunde inseglet, Det) ",1957,490,650
Glory ,1989,9665,651
Rosencrantz and Guildenstern Are Dead ,1990,18971,652
Touch of Evil ,1958,1480,653
Chinatown ,1974,829,654
Stand by Me ,1986,235,655
M ,1931,832,656
"Manchurian Candidate, The ",1962,982,657
Pump Up the Volume ,1990,8428,658
Arsenic and Old Lace ,1944,212,659
Fried Green Tomatoes ,1991,1633,660
High Noon ,1952,288,661
Somewhere in Time ,1980,16633,662
Being There ,1979,10322,663
"Paris, Texas ",1984,655,664
Alien 3 ,1992,8077,665
Blood For Dracula (Andy Warhol's Dracula) ,1974,25944,666
Audrey Rose ,1977,49126,667
Blood Beach ,1981,37843,668
Body Parts ,1991,32146,669
Body Snatchers ,1993,4722,670
Bride of Frankenstein ,1935,229,671
Candyman ,1992,9529,672
Cape Fear ,1962,11349,673
Cat People ,1982,6217,674
"Nosferatu (Nosferatu, eine Symphonie des Grauens) ",1922,653,675
"Crucible, The ",1996,20539,676
Fire on the Mountain ,1997,65388,677
Volcano ,1997,10357,678
Conan the Barbarian ,1981,9387,679
Kull the Conqueror ,1997,17832,680
Wishmaster ,1997,10351,681
I Know What You Did Last Summer ,1997,3597,682
Rocket Man ,1997,36797,683
In the Line of Fire ,1993,9386,684
Executive Decision ,1996,2320,685
"Perfect World, A ",1993,9559,686
McHale's Navy ,1997,14908,687
Leave It to Beaver ,1997,37244,688
"Jackal, The ",1997,4824,689
Seven Years in Tibet ,1997,978,690
Dark City ,1998,2666,691
"American President, The ",1995,9087,692
Casino ,1995,524,693
Persuasion ,1995,17015,694
Kicking and Screaming ,1995,28387,695
City Hall ,1996,11062,696
"Basketball Diaries, The ",1995,10474,697
"Browning Version, The ",1994,49805,698
Little Women ,1994,9587,699
Miami Rhapsody ,1995,17402,700
"Wonderful, Horrible Life of Leni Riefenstahl, The ",1993,41647,701
Barcelona ,1994,16771,702
Widows' Peak ,1994,25440,703
"House of the Spirits, The ",1993,2259,704
Singin' in the Rain ,1952,872,705
Bad Moon ,1996,49763,706
Enchanted April ,1991,26561,707
"Sex, Lies, and Videotape ",1989,1412,708
Strictly Ballroom ,1992,10409,709
Better Off Dead... ,1985,13667,710
"Substance of Fire, The ",1996,168535,711
Tin Men ,1987,10896,712
Othello ,1995,16420,713
Carrington ,1995,47018,714
To Die For ,1995,577,715
Home for the Holidays ,1995,9089,716
"Juror, The ",1996,9623,717
In the Bleak Midwinter ,1996,40154,718
Canadian Bacon ,1994,1775,719
First Knight ,1995,6520,720
Mallrats ,1995,2293,721
Nine Months ,1995,11472,722
Boys on the Side ,1995,9382,723
Circle of Friends ,1995,22625,724
Exit to Eden ,1994,18395,725
Fluke ,1995,21183,726
Immortal Beloved ,1994,13701,727
Junior ,1994,6280,728
Nell ,1994,1945,729
"Queen Margot (Reine Margot, La) ",1996,10452,730
"Corrina, Corrina ",1994,10464,731
Dave ,1993,11566,732
Go Fish ,1994,18620,733
Made in America ,1993,12121,734
Philadelphia ,1993,9800,735
Shadowlands ,1993,10445,736
Sirens ,1994,12519,737
Threesome ,1994,10635,738
Pretty Woman ,1990,114,739
Jane Eyre ,1996,47333,740
"Last Supper, The ",1996,12520,741
Ransom ,1996,3595,742
"Crow: City of Angels, The ",1996,10546,743
Michael Collins ,1996,1770,744
"Ruling Class, The ",1972,30892,745
Real Genius ,1985,14370,746
Benny & Joon ,1993,4104,747
"Saint, The ",1997,10003,748
"MatchMaker, The ",1997,20457,749
Amistad ,1997,11831,750
Tomorrow Never Dies ,1997,714,751
"Replacement Killers, The ",1998,11702,752
Burnt By the Sun ,1994,50797,753
Red Corner ,1997,9407,754
Jumanji ,1995,8844,755
Father of the Bride Part II ,1995,11862,756
Across the Sea of Time ,1995,139405,757
Lawnmower Man 2: Beyond Cyberspace ,1996,11525,758
Fair Game ,1995,11859,759
Screamers ,1995,9102,760
Nick of Time ,1995,2086,761
Beautiful Girls ,1996,9283,762
Happy Gilmore ,1996,9614,763
If Lucy Fell ,1996,10324,764
Boomerang ,1992,11066,765
