movie_title,year,tmdb_id,movie_id,director,actor1,actor2
2001: A Space Odyssey ,1968,62,135,Stanley Kubrick,Keir Dullea,Gary Lockwood
Mr. Smith Goes to Washington ,1939,3083,136,Frank Capra,Jean Arthur,James Stewart
Big Night ,1996,18203,137,Stanley Tucci,Stanley Tucci,Tony Shalhoub
D3: The Mighty Ducks ,1996,10680,138,Rob Lieberman,Emilio Estevez,Jeffrey Nordling
"Love Bug, The ",1969,14136,139,Robert Stevenson,Dean Jones,Michele Lee
Homeward Bound: The Incredible Journey ,1993,6878,140,Duwayne Dunham,Michael J. Fox,Sally Field
"20,000 Leagues Under the Sea ",1954,173,141,Richard Fleischer,Kirk Douglas,James Mason
Bedknobs and Broomsticks ,1971,12335,142,Robert Stevenson,Angela Lansbury,David Tomlinson
"Sound of Music, The ",1965,15121,143,Robert Wise,Julie Andrews,Christopher Plummer
Die Hard ,1988,562,144,John McTiernan,Bruce Willis,Alan Rickman
"Lawnmower Man, The ",1992,10163,145,Brett Leonard,Jeff Fahey,Pierce Brosnan
Unhook the Stars ,1996,48862,146,Nick Cassavetes,Gena Rowlands,Marisa Tomei
"Long Kiss Goodnight, The ",1996,11412,147,Renny Harlin,Geena Davis,Samuel L. Jackson
"Ghost and the Darkness, The ",1996,10586,148,Stephen Hopkins,Michael Douglas,Val Kilmer
Jude ,1996,25147,149,Michael Winterbottom,Kate Winslet,Christopher Eccleston
Swingers ,1996,10218,150,Doug Liman,Jon Favreau,Vince Vaughn
Willy Wonka and the Chocolate Factory ,1971,252,151,Mel Stuart,Gene Wilder,Jack Albertson
Sleeper ,1973,11561,152,Woody Allen,Woody Allen,Diane Keaton
"Fish Called Wanda, A ",1988,623,153,Charles Crichton,John Cleese,Jamie Lee Curtis
Monty Python's Life of Brian ,1979,583,154,Terry Jones,Graham Chapman,John Cleese
Dirty Dancing ,1987,88,155,Emile Ardolino,Jennifer Grey,Patrick Swayze
Reservoir Dogs ,1992,500,156,Quentin Tarantino,Harvey Keitel,Tim Roth
Platoon ,1986,792,157,Oliver Stone,Tom Berenger,Keith David
Weekend at Bernie's ,1989,8491,158,Ted Kotcheff,Andrew McCarthy,Jonathan Silverman
Basic Instinct ,1992,402,159,Paul Verhoeven,Michael Douglas,Sharon Stone
Glengarry Glen Ross ,1992,9504,160,James Foley,Al Pacino,Jack Lemmon
Top Gun ,1986,744,161,Tony Scott,Tom Cruise,Kelly McGillis
On Golden Pond ,1981,11816,162,Mark Rydell,Katharine Hepburn,Henry Fonda
"Return of the Pink Panther, The ",1974,11843,163,Blake Edwards,Peter Sellers,Christopher Plummer
"Abyss, The ",1989,2756,164,James Cameron,Ed Harris,Mary Elizabeth Mastrantonio
Jean de Florette ,1986,4480,165,Claude Berri,Yves Montand,Gérard Depardieu
Manon of the Spring (Manon des sources) ,1986,4481,166,Claude Berri,Yves Montand,Emmanuelle Béart
Private Benjamin ,1980,10765,167,Howard Zieff,Goldie Hawn,Eileen Brennan
Monty Python and the Holy Grail ,1974,762,168,Terry Gilliam,Graham Chapman,John Cleese
"Wrong Trousers, The ",1993,531,169,Nick Park,Peter Sallis,
Cinema Paradiso ,1988,11216,170,Giuseppe Tornatore,Philippe Noiret,Jacques Perrin
Delicatessen ,1991,892,171,Jean-Pierre Jeunet,Dominique Pinon,Marie-Laure Dougnac
"Empire Strikes Back, The ",1980,1891,172,Irvin Kershner,Mark Hamill,Harrison Ford
"Princess Bride, The ",1987,2493,173,Rob Reiner,Cary Elwes,Robin Wright
Raiders of the Lost Ark ,1981,85,174,Steven Spielberg,Harrison Ford,Karen Allen
Brazil ,1985,68,175,Terry Gilliam,Jonathan Pryce,Robert De Niro
Aliens ,1986,679,176,James Cameron,Sigourney Weaver,Michael Biehn
"Good, The Bad and The Ugly, The ",1966,429,177,Sergio Leone,Clint Eastwood,Eli Wallach
12 Angry Men ,1957,389,178,Sidney Lumet,Henry Fonda,Martin Balsam
"Clockwork Orange, A ",1971,185,179,Stanley Kubrick,Malcolm McDowell,Patrick Magee
Apocalypse Now ,1979,28,180,Francis Ford Coppola,Martin Sheen,Marlon Brando
Return of the Jedi ,1997,1892,181,Richard Marquand,Mark Hamill,Harrison Ford
GoodFellas ,1990,769,182,Martin Scorsese,Ray Liotta,Robert De Niro
Alien ,1979,348,183,Ridley Scott,Tom Skerritt,Sigourney Weaver
Army of Darkness ,1993,766,184,Sam Raimi,Bruce Campbell,Embeth Davidtz
Psycho ,1960,539,185,Alfred Hitchcock,Anthony Perkins,Janet Leigh
"Blues Brothers, The ",1980,525,186,John Landis,Dan Aykroyd,John Belushi
"Godfather: Part II, The ",1974,240,187,Francis Ford Coppola,Al Pacino,Robert Duvall
Full Metal Jacket ,1987,600,188,Stanley Kubrick,Matthew Modine,Adam Baldwin
"Grand Day Out, A ",1992,530,189,Nick Park,Peter Sallis,Peter Hawkins
Henry V ,1989,10705,190,Kenneth Branagh,Kenneth Branagh,Derek Jacobi
Amadeus ,1984,279,191,Miloš Forman,F. Murray Abraham,Tom Hulce
Raging Bull ,1980,1578,192,Martin Scorsese,Robert De Niro,Joe Pesci
"Right Stuff, The ",1983,9549,193,Philip Kaufman,Fred Ward,Dennis Quaid
"Sting, The ",1973,9277,194,George Roy Hill,Paul Newman,Robert Redford
"Terminator, The ",1984,218,195,James Cameron,Arnold Schwarzenegger,Michael Biehn
Dead Poets Society ,1989,207,196,Peter Weir,Robin Williams,Ethan Hawke
"Graduate, The ",1967,37247,197,Mike Nichols,Dustin Hoffman,Anne Bancroft
Nikita (La Femme Nikita) ,1990,9322,198,Luc Besson,Anne Parillaud,Marc Duret
"Bridge on the River Kwai, The ",1957,826,199,David Lean,William Holden,Alec Guinness
"Shining, The ",1980,694,200,Stanley Kubrick,Jack Nicholson,Shelley Duvall
Evil Dead II ,1987,765,201,Sam Raimi,Bruce Campbell,Sarah Berry
Groundhog Day ,1993,137,202,Harold Ramis,Bill Murray,Andie MacDowell
Unforgiven ,1992,33,203,Clint Eastwood,Clint Eastwood,Gene Hackman
Back to the Future ,1985,105,204,Robert Zemeckis,Michael J. Fox,Christopher Lloyd
Patton ,1970,11202,205,Franklin J. Schaffner,George C. Scott,Karl Malden
Akira ,1988,149,206,Katsuhiro Otomo,Mitsuo Iwata,Nozomu Sasaki
Cyrano de Bergerac ,1990,11673,207,Jean-Paul Rappeneau,Gérard Depardieu,Anne Brochet
Young Frankenstein ,1974,3034,208,Mel Brooks,Gene Wilder,Peter Boyle
This Is Spinal Tap ,1984,11031,209,Rob Reiner,Christopher Guest,Michael McKean
Indiana Jones and the Last Crusade ,1989,89,210,Steven Spielberg,Harrison Ford,Sean Connery
M*A*S*H ,1970,651,211,Robert Altman,Donald Sutherland,Elliott Gould
"Unbearable Lightness of Being, The ",1988,10644,212,Philip Kaufman,Daniel Day-Lewis,Juliette Binoche
"Room with a View, A ",1986,11257,213,James Ivory,Helena Bonham Carter,Julian Sands
Pink Floyd - The Wall ,1982,12104,214,Alan Parker,Bob Geldof,Christine Hargreaves
Field of Dreams ,1989,2323,215,Phil Alden Robinson,Kevin Costner,Amy Madigan
When Harry Met Sally... ,1989,639,216,Rob Reiner,Meg Ryan,Billy Crystal
Bram Stoker's Dracula ,1992,6114,217,Francis Ford Coppola,Gary Oldman,Winona Ryder
Cape Fear ,1991,1598,218,Martin Scorsese,Robert De Niro,Nick Nolte
"Nightmare on Elm Street, A ",1984,377,219,Wes Craven,John Saxon,Ronee Blakley
"Mirror Has Two Faces, The ",1996,25189,220,Barbra Streisand,Barbra Streisand,Jeff Bridges
Breaking the Waves ,1996,145,221,Lars von Trier,Emily Watson,Stellan Skarsgård
Star Trek: First Contact ,1996,199,222,Jonathan Frakes,Patrick Stewart,Jonathan Frakes
Sling Blade ,1996,12498,223,Billy Bob Thornton,Billy Bob Thornton,Dwight Yoakam
Ridicule ,1996,12709,224,Patrice Leconte,Charles Berling,Jean Rochefort
101 Dalmatians ,1996,11674,225,Stephen Herek,Glenn Close,Jeff Daniels
Die Hard 2 ,1990,1573,226,Renny Harlin,Bruce Willis,Bonnie Bedelia
Star Trek VI: The Undiscovered Country ,1991,174,227,Nicholas Meyer,William Shatner,Leonard Nimoy
Star Trek: The Wrath of Khan ,1982,154,228,Nicholas Meyer,William Shatner,Leonard Nimoy
Star Trek III: The Search for Spock ,1984,157,229,Leonard Nimoy,William Shatner,DeForest Kelley
Star Trek IV: The Voyage Home ,1986,168,230,Leonard Nimoy,William Shatner,Catherine Hicks
Batman Returns ,1992,364,231,Tim Burton,Michael Keaton,Danny DeVito
Young Guns ,1988,11967,232,Christopher Cain,Emilio Estevez,Kiefer Sutherland
Under Siege ,1992,8845,233,Andrew Davis,Steven Seagal,Tommy Lee Jones
Jaws ,1975,578,234,Steven Spielberg,Roy Scheider,Robert Shaw
Mars Attacks! ,1996,75,235,Tim Burton,Jack Nicholson,Glenn Close
Citizen Ruth ,1996,13891,236,Alexander Payne,Laura Dern,Swoosie Kurtz
Jerry Maguire ,1996,9390,237,Cameron Crowe,Tom Cruise,Cuba Gooding Jr.
Raising Arizona ,1987,378,238,Joel Coen,Nicolas Cage,Holly Hunter
Sneakers ,1992,2322,239,Phil Alden Robinson,Robert Redford,Sidney Poitier
Beavis and Butt-head Do America ,1996,3179,240,Mike Judge,Mike Judge,Bruce Willis
"Last of the Mohicans, The ",1992,9361,241,Michael Mann,Daniel Day-Lewis,Madeleine Stowe
Kolya ,1997,784,242,Jan Svěrák,Andrei Chalimon,Zdeněk Svěrák
Jungle2Jungle ,1997,-1,243,,,
Smilla's Sense of Snow ,1997,9311,244,Bille August,Julia Ormond,Gabriel Byrne
"Devil's Own, The ",1997,4477,245,Alan J. Pakula,Brad Pitt,Harrison Ford
Chasing Amy ,1997,2255,246,Kevin Smith,Ben Affleck,Joey Lauren Adams
Turbo: A Power Rangers Movie ,1997,6499,247,Shuki Levy,Johnny Yong Bosch,Nakia Burrise
Grosse Pointe Blank ,1997,9434,248,George Armitage,John Cusack,Minnie Driver
Austin Powers: International Man of Mystery ,1997,816,249,Jay Roach,Mike Myers,Elizabeth Hurley
"Fifth Element, The ",1997,18,250,Luc Besson,Bruce Willis,Gary Oldman
Shall We Dance? ,1997,11239,251,Masayuki Suo,Koji Yakusho,Tamiyo Kusakari
"Lost World: Jurassic Park, The ",1997,330,252,Steven Spielberg,Jeff Goldblum,Julianne Moore
"Pillow Book, The ",1997,26422,253,Peter Greenaway,Vivian Wu,Yoshi Oida
Batman & Robin ,1997,415,254,Joel Schumacher,George Clooney,Chris O'Donnell
My Best Friend's Wedding ,1997,8874,255,P.J. Hogan,Julia Roberts,Dermot Mulroney
When the Cats Away (Chacun cherche son chat) ,1997,11956,256,Cédric Klapisch,Garance Clavel,Zinedine Soualem
Men in Black ,1997,607,257,Barry Sonnenfeld,Tommy Lee Jones,Will Smith
Contact ,1997,686,258,Robert Zemeckis,Jodie Foster,Matthew McConaughey
George of the Jungle ,1997,10603,259,Sam Weisman,Brendan Fraser,Leslie Mann
Event Horizon ,1997,8413,260,Paul W.S. Anderson,Laurence Fishburne,Sam Neill
Air Bud ,1997,20737,261,Charles Martin Smith,Kevin Zegers,Wendy Makkena
In the Company of Men ,1997,14585,262,Neil LaBute,Aaron Eckhart,Stacy Edwards
Steel ,1997,8854,263,Kenneth Johnson,Shaquille O'Neal,Annabeth Gish
Mimic ,1997,4961,264,Guillermo del Toro,Mira Sorvino,Jeremy Northam
"Hunt for Red October, The ",1990,1669,265,John McTiernan,Alec Baldwin,Sean Connery
Kull the Conqueror ,1997,17832,266,John Nicolella,Kevin Sorbo,Tia Carrere
Chasing Amy ,1997,2255,268,Kevin Smith,Ben Affleck,Joey Lauren Adams
"Full Monty, The ",1997,9427,269,Peter Cattaneo,Robert Carlyle,Mark Addy
Gattaca ,1997,782,270,Andrew Niccol,Ethan Hawke,Jude Law
Starship Troopers ,1997,563,271,Paul Verhoeven,Casper Van Dien,Dina Meyer
Good Will Hunting ,1997,489,272,Gus Van Sant,Matt Damon,Robin Williams
Heat ,1995,949,273,Michael Mann,Al Pacino,Robert De Niro
Sabrina ,1995,11860,274,Sydney Pollack,Harrison Ford,Julia Ormond
Sense and Sensibility ,1995,4584,275,Ang Lee,Kate Winslet,Emma Thompson
Leaving Las Vegas ,1995,451,276,Mike Figgis,Nicolas Cage,Elisabeth Shue
Restoration ,1995,35196,277,Michael Hoffman,Robert Downey Jr.,Meg Ryan
Bed of Roses ,1996,20927,278,Michael Goldenberg,Christian Slater,Mary Stuart Masterson
Once Upon a Time... When We Were Colored ,1995,146599,279,Tim Reid,"Al Freeman, Jr.",Phylicia Rashād
Up Close and Personal ,1996,9302,280,Jon Avnet,Robert Redford,Michelle Pfeiffer
"River Wild, The ",1994,8987,281,Curtis Hanson,Meryl Streep,David Strathairn
"Time to Kill, A ",1996,1645,282,Joel Schumacher,Matthew McConaughey,Sandra Bullock
Emma ,1996,3573,283,Douglas McGrath,Gwyneth Paltrow,Toni Collette
Tin Cup ,1996,10478,284,Ron Shelton,Rene Russo,Kevin Costner
Secrets & Lies ,1996,11159,285,Mike Leigh,Timothy Spall,Brenda Blethyn
"English Patient, The ",1996,409,286,Anthony Minghella,Ralph Fiennes,Juliette Binoche
Marvin's Room ,1996,9819,287,Jerry Zaks,Diane Keaton,Meryl Streep
Scream ,1996,4232,288,Wes Craven,Neve Campbell,Courteney Cox
Evita ,1996,8818,289,Alan Parker,Madonna,Antonio Banderas
Fierce Creatures ,1997,12145,290,Fred Schepisi,John Cleese,Jamie Lee Curtis
Absolute Power ,1997,66,291,Clint Eastwood,Clint Eastwood,Gene Hackman
Rosewood ,1997,25624,292,John Singleton,Ving Rhames,Jon Voight
Donnie Brasco ,1997,9366,293,Mike Newell,Johnny Depp,Al Pacino
Liar Liar ,1997,1624,294,Tom Shadyac,Jim Carrey,Maura Tierney
Breakdown ,1997,2163,295,Jonathan Mostow,Kurt Russell,J.T. Walsh
"Promesse, La ",1997,24183,296,Jean-Pierre Dardenne,Jérémie Renier,Olivier Gourmet
Ulee's Gold ,1997,55306,297,Victor Nunez,Peter Fonda,Patricia Richardson
Face/Off ,1997,754,298,John Woo,John Travolta,Nicolas Cage
Hoodlum ,1997,22073,299,Bill Duke,Laurence Fishburne,Tim Roth
Air Force One ,1997,9772,300,Wolfgang Petersen,Harrison Ford,Gary Oldman
In & Out ,1997,607,301,Barry Sonnenfeld,Tommy Lee Jones,Will Smith
L.A. Confidential ,1997,2118,302,Curtis Hanson,Kevin Spacey,Guy Pearce
Ulee's Gold ,1997,55306,303,Victor Nunez,Peter Fonda,Patricia Richardson
Fly Away Home ,1996,11076,304,Carroll Ballard,Jeff Daniels,Anna Paquin
"Ice Storm, The ",1997,68924,305,Ang Lee,Kevin Kline,Joan Allen
"Mrs. Brown (Her Majesty, Mrs. Brown) ",1997,17589,306,John Madden,Judi Dench,Billy Connolly
"Devil's Advocate, The ",1997,1813,307,Taylor Hackford,Keanu Reeves,Al Pacino
FairyTale: A True Story ,1997,29911,308,Charles Sturridge,Florence Hoath,Elizabeth Earl
Deceiver ,1997,14583,309,Jonas Pate,Tim Roth,Michael Rooker
"Rainmaker, The ",1997,11975,310,Francis Ford Coppola,Matt Damon,Danny DeVito
"Wings of the Dove, The ",1997,45609,311,Iain Softley,Helena Bonham Carter,Linus Roache
Midnight in the Garden of Good and Evil ,1997,8197,312,Clint Eastwood,John Cusack,Kevin Spacey
Titanic ,1997,597,313,James Cameron,Kate Winslet,Leonardo DiCaprio
3 Ninjas: High Noon At Mega Mountain ,1997,32302,314,Sean McNamara,Victor Wong,Mathew Botuchis
Apt Pupil ,1998,9445,315,Bryan Singer,Ian McKellen,Brad Renfro
As Good As It Gets ,1997,2898,316,James L. Brooks,Jack Nicholson,Helen Hunt
In the Name of the Father ,1993,7984,317,Jim Sheridan,Daniel Day-Lewis,Pete Postlethwaite
Schindler's List ,1993,424,318,Steven Spielberg,Liam Neeson,Ben Kingsley
Everyone Says I Love You ,1996,9716,319,Woody Allen,Woody Allen,Julia Roberts
